field_id,fertilizer_kg_ha,rainfall_mm,variety,yield_bu_acre
C001,146.2,198.7,InVigor,56.7
C002,136.5,282.3,DEKALB,62.0
C003,113.1,273.6,Clearfield,53.6
C004,111.8,173.0,InVigor,51.2
C005,102.6,215.5,InVigor,49.2
C006,140.5,151.1,InVigor,51.2
C007,102.0,217.0,Clearfield,49.0
C008,136.8,275.2,InVigor,56.8
C009,141.6,258.5,InVigor,61.0
C010,97.9,210.2,Clearfield,48.2
C011,154.6,288.5,InVigor,59.5
C012,139.8,,DEKALB,55.9
C013,111.6,264.6,InVigor,55.2
C014,120.3,186.7,InVigor,51.7
C015,147.0,261.6,DEKALB,62.1
C016,104.6,155.8,InVigor,42.5
C017,108.6,242.9,DEKALB,44.9
C018,144.2,232.0,DEKALB,61.0
C019,60.5,155.7,DEKALB,40.6
C020,138.4,274.1,Clearfield,58.9
C021,158.3,243.3,DEKALB,56.8
C022,144.5,232.2,Clearfield,54.5
C023,113.2,265.8,Clearfield,51.1
C024,116.0,241.8,InVigor,52.1
C025,137.9,256.3,InVigor,54.8
C026,90.7,174.4,InVigor,47.3
C027,125.5,248.9,Clearfield,48.2
C028,112.1,225.4,DEKALB,52.3
C029,105.0,215.2,Clearfield,51.6
C030,132.2,225.3,Clearfield,49.0
C031,140.1,238.3,DEKALB,56.5
C032,134.7,260.3,DEKALB,56.6
C033,171.1,258.5,InVigor,62.5
C034,108.1,236.5,DEKALB,47.9
C035,137.1,214.5,InVigor,49.3
C036,135.6,184.9,InVigor,51.8
C037,94.0,261.8,InVigor,50.3
C038,130.0,244.1,Clearfield,52.1
C039,161.5,208.6,Clearfield,50.2
C040,88.2,185.8,Clearfield,50.3
C041,132.8,188.0,Clearfield,51.8
C042,129.9,282.8,Clearfield,58.0
C043,115.3,216.6,InVigor,51.9
C044,128.3,265.6,InVigor,55.3
C045,141.8,264.5,InVigor,62.8
C046,109.1,231.5,DEKALB,45.3
C047,63.4,,Clearfield,39.7
C048,125.9,255.5,InVigor,55.6
C049,104.1,173.3,DEKALB,44.9
C050,139.3,208.9,InVigor,53.4
C051,139.1,224.9,DEKALB,57.2
C052,145.2,234.9,InVigor,59.5
C053,133.8,180.9,DEKALB,51.8
C054,109.5,209.3,DEKALB,50.0
C055,105.2,220.0,Clearfield,52.0
C056,123.0,216.5,Clearfield,49.3
C057,116.3,172.4,Clearfield,51.6
C058,143.4,211.4,Clearfield,51.5
C059,142.4,231.1,InVigor,58.4
C060,119.5,227.3,InVigor,56.5
C061,128.1,235.7,InVigor,51.6
C062,124.3,265.0,InVigor,58.1
C063,141.1,198.8,InVigor,53.3
C064,186.0,240.9,Clearfield,62.9
C065,94.3,223.5,DEKALB,47.2
C066,102.9,168.6,DEKALB,45.6
C067,186.9,258.6,Clearfield,59.2
C068,120.3,271.4,Clearfield,56.3
C069,128.8,203.4,DEKALB,51.5
C070,158.2,320.8,Clearfield,63.2
C071,114.6,285.2,DEKALB,51.3
C072,141.0,236.8,Clearfield,54.3
C073,110.8,255.2,Clearfield,50.9
C074,120.9,282.1,DEKALB,50.2
C075,97.6,190.3,DEKALB,48.4
C076,153.1,211.6,InVigor,59.2
C077,126.5,164.4,InVigor,52.0
C078,160.2,216.1,DEKALB,59.0
C079,179.1,257.2,Clearfield,63.2
C080,116.7,183.4,Clearfield,54.2
C081,132.2,252.8,Clearfield,59.3
C082,111.0,240.0,DEKALB,53.1
C083,116.3,243.9,DEKALB,49.6
C084,120.8,237.4,InVigor,53.3
C085,126.1,243.2,DEKALB,58.4
C086,141.8,248.4,DEKALB,57.4
C087,137.9,242.5,InVigor,52.8
C088,105.8,,InVigor,46.6
C089,114.4,187.5,DEKALB,42.4
C090,115.2,218.0,Clearfield,51.3
C091,111.6,241.9,Clearfield,56.6
C092,98.0,148.0,Clearfield,42.2
C093,149.2,281.4,Clearfield,60.0
C094,107.4,264.9,DEKALB,54.6
C095,116.9,128.9,DEKALB,49.3
C096,146.6,311.0,DEKALB,66.0
C097,121.6,255.9,DEKALB,46.8
C098,163.4,297.3,Clearfield,63.6
C099,106.2,150.9,DEKALB,48.4
C100,142.7,271.5,InVigor,57.9
C101,131.0,237.2,Clearfield,56.4
C102,151.4,289.2,Clearfield,54.9
C103,163.4,263.0,Clearfield,58.9
C104,72.3,140.5,InVigor,39.3
C105,85.4,239.5,Clearfield,49.0
C106,129.6,218.6,DEKALB,53.3
C107,139.1,270.9,InVigor,57.7
C108,133.3,185.0,Clearfield,45.6
C109,106.5,190.3,DEKALB,49.3
C110,146.8,201.8,DEKALB,58.4
C111,120.0,283.3,InVigor,57.8
C112,151.0,279.4,InVigor,70.4
C113,82.1,200.3,InVigor,50.3
C114,115.1,223.1,Clearfield,52.3
C115,58.3,192.0,DEKALB,46.8
C116,121.4,258.6,InVigor,51.6
C117,85.9,173.7,DEKALB,45.0
C118,100.7,181.7,DEKALB,56.7
C119,151.4,266.6,InVigor,60.0
C120,133.3,221.5,InVigor,60.1
