Field ID,VARIETY_NAME,Acres,Yield (bu/ac),harvest weight,N rate,Moisture %
F001,AAC Viewfield,160,67.6,297.7 t,97.1,12.4
F002,Brandon,320,54.9,476.0 t,96.2,14.7
F003,CDC Landmark,120,54.4,172.6 t,0.081,12.3
F002,Brandon,320,54.9,476.0 t,96.2,14.7
F004,Brandon AAC,320,-99,642.5 t,116.7,15.4
F005,CDC Landmark,320,65.8,561.5 t,89.9,12.3
F006,Brndon,160,50.8,222.8 t,0.113,N/A
F005,CDC Landmark,320,65.8,561.5 t,89.9,12.3
F007,AAC Viewfield,80,-12,138.6 t,135.9,14.5
F008,AAC Brandon,160,60.3,264.0 t,127.3,12.4
F009,CDC Landmark,160,51.5,226.5 t,0.081,13.7
F010,Brandon,160,58.9,256.6 t,92.4,16.4
F011,CDC Landmark,320,54.4,481.3 t,82.9,12.0
F012,Brandon AAC,240,62.0,402.2 t,0.103,13.5
F013,AAC Viewfield,240,41.5,269.8 t,82.7,16.5
F014,Brndon,160,57.8,249.6 t,134.0,missing
F015,CDC Landmark,160,54.7,234.9 t,0.106,11.6
F016,AAC Brandon,160,52.9,225.5 t,128.5,13.0
F017,CDC Landmark,240,63.0,418.7 t,85.4,15.5
F018,Brandon,160,63.6,283.2 t,0.112,15.7
F019,AAC Viewfield,120,1250,177.8 t,104.1,12.6
F020,Brandon AAC,160,76.6,323.9 t,84.7,13.1
F021,CDC Landmark,240,65.1,431.7 t,0.129,15.4
F022,Brndon,320,57.5,492.0 t,96.8,
F023,CDC Landmark,240,-99,365.8 t,87.2,16.0
F024,AAC Brandon,120,46.5,150.5 t,0.124,15.3
F025,AAC Viewfield,160,51.7,226.1 t,100.8,11.6
F026,Brandon,160,59.1,252.7 t,132.9,15.7
F027,CDC Landmark,80,54.0,120.3 t,0.13,12.2
F028,Brandon AAC,160,43.3,191.4 t,103.9,15.0
F029,CDC Landmark,160,63.3,268.5 t,106.3,15.7
F030,Brndon,160,53.2,237.8 t,0.092,9999
F031,AAC Viewfield,120,-99,189.5 t,123.2,16.0
F032,AAC Brandon,120,60.1,195.9 t,100.1,15.4
F033,CDC Landmark,240,58.6,386.2 t,0.08,15.4
F034,Brandon,120,56.8,185.9 t,131.3,14.7
F035,CDC Landmark,160,50.1,215.8 t,89.4,11.7
F036,Brandon AAC,160,58.2,255.6 t,0.13,12.9
