RM_Number,RM_Name,Census_Division,Population_2021,Weather_Station,Station_km
1,Argyle,Division No.  1,331,Kipling,145
2,Mount Pleasant,Division No.  1,419,Kipling,133
3,Enniskillen,Division No.  1,422,Kipling,123
4,Coalfields,Division No.  1,330,Weyburn,104
5,Estevan,Division No.  1,1279,Weyburn,83
6,Cambria,Division No.  2,277,Weyburn,69
7,Souris Valley,Division No.  2,220,Weyburn,62
8,Lake Alma,Division No.  2,269,Weyburn,69
9,Surprise Valley,Division No.  2,211,Weyburn,84
10,Happy Valley,Division No.  2,125,Weyburn,115
11,Hart Butte,Division No.  3,263,Weyburn,136
12,Poplar Valley,Division No.  3,190,Weyburn,157
17,Val Marie,Division No.  4,425,Swift Current CDA,119
18,Lone Tree,Division No.  4,140,Maple Creek,119
19,Frontier,Division No.  4,347,Maple Creek,102
31,Storthoaks,Division No.  1,306,Kipling,122
32,Reciprocity,Division No.  1,351,Kipling,109
33,Moose Creek,Division No.  1,306,Kipling,98
34,Browning,Division No.  1,355,Kipling,92
35,Benson,Division No.  1,450,Weyburn,68
36,Cymri,Division No.  2,568,Weyburn,45
37,Lomond,Division No.  2,275,Weyburn,34
38,Laurier,Division No.  2,253,Weyburn,47
39,The Gap,Division No.  2,181,Weyburn,66
40,Bengough,Division No.  2,305,Weyburn,103
42,Willow Bunch,Division No.  3,285,Regina RCS,142
43,Old Post,Division No.  3,352,Swift Current CDA,157
44,Waverley,Division No.  3,295,Swift Current CDA,127
45,Mankota,Division No.  3,289,Swift Current CDA,112
46,Glen McPherson,Division No.  3,76,Swift Current CDA,100
49,White Valley,Division No.  4,352,Maple Creek,60
51,Reno,Division No.  4,343,Maple Creek,62
61,Antler,Division No.  1,451,Kipling,99
63,Moose Mountain,Division No.  1,489,Kipling,73
64,Brock,Division No.  1,252,Kipling,62
65,Tecumseh,Division No.  1,255,Weyburn,55
66,Griffin,Division No.  2,430,Weyburn,26
67,Weyburn,Division No.  2,1103,Weyburn,6
68,Brokenshell,Division No.  2,307,Weyburn,30
69,Norton,Division No.  2,233,Weyburn,62
70,Key West,Division No.  2,251,Weyburn,89
71,Excel,Division No.  3,411,Regina RCS,111
72,Lake of the Rivers,Division No.  3,252,Regina RCS,122
73,Stonehenge,Division No.  3,385,Swift Current CDA,133
74,Wood River,Division No.  3,466,Swift Current CDA,103
75,Pinto Creek,Division No.  3,251,Swift Current CDA,86
76,Auvergne,Division No.  3,381,Swift Current CDA,67
77,Wise Creek,Division No.  4,188,Swift Current CDA,66
78,Grassy Creek,Division No.  4,341,Swift Current CDA,85
79,Arlington,Division No.  4,359,Maple Creek,63
91,Maryfield,Division No.  1,258,Kipling,91
92,Walpole,Division No.  1,292,Kipling,70
93,Wawken,Division No.  1,614,Kipling,49
94,Hazelwood,Division No.  1,244,Kipling,28
95,Golden West,Division No.  1,289,Kipling,36
96,Fillmore,Division No.  2,224,Weyburn,37
97,Wellington,Division No.  2,274,Weyburn,24
98,Scott,Division No.  2,215,Weyburn,39
99,Caledonia,Division No.  2,225,Regina RCS,54
100,Elmsthorpe,Division No.  2,195,Regina RCS,61
101,Terrell,Division No.  3,210,Regina RCS,82
102,Lake Johnston,Division No.  3,140,Regina RCS,104
103,Sutton,Division No.  3,230,Swift Current CDA,116
104,Gravelbourg,Division No.  3,317,Swift Current CDA,87
105,Glen Bain,Division No.  3,195,Swift Current CDA,65
106,Whiska Creek,Division No.  3,512,Swift Current CDA,43
107,Lac Pelletier,Division No.  4,563,Swift Current CDA,37
108,Bone Creek,Division No.  4,362,Swift Current CDA,61
109,Carmichael,Division No.  4,462,Maple Creek,59
110,Piapot,Division No.  4,280,Maple Creek,27
111,Maple Creek,Division No.  4,1167,Maple Creek,13
121,Moosomin,Division No.  5,541,Kipling,79
122,Martin,Division No.  5,254,Kipling,63
123,Silverwood,Division No.  5,355,Kipling,35
124,Kingsley,Division No.  5,396,Kipling,9
125,Chester,Division No.  5,333,Kipling,21
126,Montmartre,Division No.  6,350,Indian Head CDA,43
127,Francis,Division No.  6,701,Indian Head CDA,39
128,Lajord,Division No.  6,985,Regina RCS,34
129,Bratt's Lake,Division No.  6,328,Regina RCS,26
130,Redburn,Division No.  6,253,Regina RCS,42
131,Baildon,Division No.  7,583,Regina RCS,64
132,Hillsborough,Division No.  7,97,Regina RCS,86
133,Rodgers,Division No.  7,105,Swift Current CDA,105
134,Shamrock,Division No.  7,194,Swift Current CDA,82
135,Lawtonia,Division No.  7,356,Swift Current CDA,50
136,Coulee,Division No.  7,669,Swift Current CDA,20
137,Swift Current,Division No.  8,1995,Swift Current CDA,6
138,Webb,Division No.  8,567,Swift Current CDA,43
139,Gull Lake,Division No.  8,185,Maple Creek,65
141,Big Stick,Division No.  8,148,Maple Creek,31
142,Enterprise,Division No.  8,110,Leader Airport,61
151,Rocanville,Division No.  5,544,Kipling,74
152,Spy Hill,Division No.  5,383,Kipling,82
153,Willowdale,Division No.  5,248,Kipling,43
154,Elcapo,Division No.  5,392,Kipling,23
155,Wolseley,Division No.  5,366,Indian Head CDA,36
156,Indian Head,Division No.  6,362,Indian Head CDA,3
157,South Qu'Appelle,Division No.  6,1231,Indian Head CDA,30
158,Edenwold,Division No.  6,4466,Regina RCS,22
159,Sherwood,Division No.  6,1219,Regina RCS,4
160,Pense,Division No.  6,441,Regina RCS,31
161,Moose Jaw,Division No.  7,1207,Regina RCS,60
162,Caron,Division No.  7,603,Regina RCS,84
163,Wheatlands,Division No.  7,157,Regina RCS,106
164,Chaplin,Division No.  7,127,Swift Current CDA,82
165,Morse,Division No.  7,396,Swift Current CDA,51
166,Excelsior,Division No.  7,808,Swift Current CDA,28
167,Saskatchewan Landing,Division No.  8,434,Swift Current CDA,27
168,Riverside,Division No.  8,436,Swift Current CDA,45
169,Pittville,Division No.  8,201,Swift Current CDA,71
171,Fox Valley,Division No.  8,344,Maple Creek,55
181,Langenburg,Division No.  5,561,Kipling,94
183,Fertile Belt,Division No.  5,727,Kipling,66
184,Grayson,Division No.  5,547,Kipling,54
185,McLeod,Division No.  5,401,Indian Head CDA,45
186,Abernethy,Division No.  6,337,Indian Head CDA,25
187,North Qu'Appelle,Division No.  6,918,Indian Head CDA,28
189,Lumsden,Division No.  6,1968,Regina RCS,28
190,Dufferin,Division No.  6,454,Regina RCS,47
191,Marquis,Division No.  7,303,Regina RCS,74
193,Eyebrow,Division No.  7,220,Outlook PFRA,103
194,Enfield,Division No.  7,268,Outlook PFRA,89
211,Churchbridge,Division No.  5,584,Kipling,110
213,Saltcoats,Division No.  5,743,Kipling,96
214,Cana,Division No.  5,904,Kelliher,82
215,Stanley,Division No.  5,508,Kelliher,62
216,Tullymet,Division No.  6,183,Kelliher,31
217,Lipton,Division No.  6,388,Kelliher,36
218,Cupar,Division No.  6,516,Kelliher,53
219,Longlaketon,Division No.  6,1096,Regina RCS,53
220,McKillop,Division No.  6,897,Regina RCS,63
221,Sarnia,Division No.  6,326,Regina RCS,74
222,Craik,Division No.  7,272,Watrous East,79
223,Huron,Division No.  7,205,Outlook PFRA,88
224,Maple Bush,Division No.  7,213,Outlook PFRA,68
225,Canaan,Division No.  7,145,Outlook PFRA,65
226,Victory,Division No.  7,434,Swift Current CDA,67
228,Lacadena,Division No.  8,787,Swift Current CDA,69
229,Miry Creek,Division No.  8,378,Leader Airport,60
230,Clinworth,Division No.  8,168,Leader Airport,27
231,Happyland,Division No.  8,285,Leader Airport,13
232,Deer Forks,Division No.  8,208,Leader Airport,30
241,Calder,Division No.  9,344,Kipling,133
243,Wallace,Division No.  9,881,Kelliher,104
244,Orkney,Division No.  9,1883,Kelliher,79
245,Garry,Division No.  9,370,Kelliher,50
246,Ituna Bon Accord,Division No. 10,327,Kelliher,18
247,Kellross,Division No. 10,396,Kelliher,11
248,Touchwood,Division No. 10,373,Kelliher,42
250,Last Mountain Valley,Division No. 11,339,Watrous East,55
251,Big Arm,Division No. 11,184,Watrous East,47
252,Arm River,Division No. 11,258,Watrous East,59
253,Willner,Division No. 11,293,Outlook PFRA,65
254,Loreburn,Division No. 11,380,Outlook PFRA,38
255,Coteau,Division No.  7,401,Outlook PFRA,41
256,King George,Division No.  7,178,Outlook PFRA,48
257,Monet,Division No.  8,432,Rosetown East,44
259,Snipe Lake,Division No.  8,410,Leader Airport,64
260,Newcombe,Division No.  8,356,Leader Airport,42
261,Chesterfield,Division No.  8,419,Leader Airport,31
271,Cote,Division No.  9,616,Kelliher,144
273,Sliding Hills,Division No.  9,438,Kelliher,110
274,Good Lake,Division No.  9,930,Kelliher,85
275,Insinger,Division No.  9,305,Kelliher,55
276,Foam Lake,Division No. 10,532,Kelliher,42
277,Emerald,Division No. 10,370,Kelliher,32
279,Mount Hope,Division No. 10,531,Watrous East,62
280,Wreford,Division No. 11,140,Watrous East,23
281,Wood Creek,Division No. 11,205,Watrous East,22
282,McCraney,Division No. 11,280,Watrous East,50
283,Rosedale,Division No. 11,542,Outlook PFRA,41
284,Rudy,Division No. 11,475,Outlook PFRA,11
285,Fertile Valley,Division No. 12,604,Outlook PFRA,12
286,Milden,Division No. 12,280,Outlook PFRA,31
287,St. Andrews,Division No. 12,461,Rosetown East,8
288,Pleasant Valley,Division No. 12,301,Rosetown East,30
290,Kindersley,Division No. 13,1003,Leader Airport,70
292,Milton,Division No. 13,249,Leader Airport,68
301,St. Philips,Division No.  9,200,Kelliher,147
303,Keys,Division No.  9,548,Kelliher,122
304,Buchanan,Division No.  9,330,Kelliher,97
305,Invermay,Division No.  9,269,Kelliher,75
307,Elfros,Division No. 10,373,Kelliher,56
308,Big Quill,Division No. 10,520,Kelliher,63
309,Prairie Rose,Division No. 10,195,Watrous East,43
310,Usborne,Division No. 11,511,Watrous East,19
312,Morris,Division No. 11,263,Watrous East,21
313,Lost River,Division No. 11,252,Watrous East,54
314,Dundurn,Division No. 11,2101,Outlook PFRA,58
315,Montrose,Division No. 12,647,Outlook PFRA,33
