Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
1938,1,NA,NA,4,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,0,NA
1939,1,NA,NA,9,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,0,NA
1940,1,NA,NA,12,NA,NA,NA,23,NA,NA,19,NA,NA,NA,NA,8,NA
1941,1,NA,NA,18,NA,NA,NA,32,NA,NA,28,NA,NA,NA,NA,5,NA
1942,1,NA,NA,20,NA,NA,NA,35,NA,NA,28,14,NA,NA,NA,5,NA
1943,1,NA,NA,21,NA,NA,NA,34,NA,NA,15,12,NA,NA,NA,7,NA
1944,1,NA,NA,20,NA,NA,NA,34,NA,NA,22,8,NA,NA,NA,8,NA
1945,1,NA,NA,16,NA,NA,NA,31,NA,NA,22,11,NA,NA,NA,9,NA
1946,1,NA,NA,13,NA,NA,NA,22,NA,NA,16,23,NA,NA,NA,4,NA
1947,1,NA,NA,15,NA,NA,NA,21,NA,NA,13,9,NA,NA,NA,7,NA
1948,1,NA,NA,16,NA,NA,NA,20,NA,NA,13,15,NA,NA,NA,6,NA
1949,1,NA,NA,18,NA,NA,NA,25,NA,NA,15,14,NA,NA,NA,7,NA
1950,1,NA,NA,18,NA,NA,NA,44,NA,NA,34,13,NA,NA,NA,10,NA
1951,1,NA,NA,13,NA,NA,NA,24,NA,NA,22,15,NA,NA,NA,7,NA
1952,1,NA,NA,13,NA,NA,NA,21,NA,NA,20,13,NA,NA,NA,8,NA
1953,1,NA,NA,20,NA,NA,NA,32,NA,NA,24,22,NA,NA,NA,8,NA
1954,1,NA,NA,8,NA,NA,NA,12,NA,NA,13,12,NA,NA,NA,8,NA
1955,1,NA,NA,19,NA,NA,NA,30,NA,NA,21,26,NA,NA,NA,8,NA
1956,1,NA,NA,22,NA,NA,NA,37,NA,NA,30,12,NA,NA,NA,8,NA
1957,1,NA,NA,13,NA,NA,NA,23,NA,NA,17,17,NA,NA,NA,2,NA
1958,1,NA,NA,12,NA,NA,NA,18,NA,NA,16,13,NA,NA,NA,3,NA
1959,1,NA,NA,15,NA,NA,NA,27,NA,NA,21,17,NA,NA,NA,3,NA
1960,1,NA,NA,21,NA,NA,NA,28,NA,NA,26,27,NA,NA,NA,6,NA
1961,1,NA,NA,2,NA,NA,NA,0,NA,NA,0,2,NA,NA,NA,1,NA
1962,1,NA,NA,30,NA,NA,NA,49,NA,NA,36,35,NA,NA,NA,10,NA
1963,1,NA,NA,20,NA,NA,NA,35,NA,NA,27,20,NA,NA,NA,10,NA
1964,1,NA,NA,23,NA,NA,NA,47,NA,NA,29,24,NA,NA,NA,NA,NA
1965,1,NA,NA,24,NA,NA,NA,51,NA,NA,33,22,NA,NA,NA,12,NA
1966,1,NA,NA,23,NA,NA,NA,43,NA,NA,33,24,NA,NA,NA,10,NA
1967,1,NA,NA,11,NA,NA,NA,21,NA,NA,15,16,NA,NA,NA,4,NA
1968,1,NA,NA,18,NA,NA,NA,33,NA,NA,25,15,NA,NA,NA,8,NA
1969,1,NA,NA,30,NA,NA,NA,56,NA,NA,45,18,NA,NA,NA,12,NA
1970,1,NA,18,18,NA,18,NA,42,NA,NA,34,20,NA,NA,NA,14,NA
1971,1,NA,18,27,NA,25,NA,53,NA,NA,44,22,NA,NA,NA,11,NA
1972,1,NA,18,17,NA,19,NA,50,NA,NA,34,21,NA,NA,NA,13,NA
1973,1,NA,20,26,NA,23,NA,65,NA,NA,49,23,NA,NA,NA,12,NA
1974,1,NA,16,22,NA,22,NA,39,NA,NA,34,22,NA,NA,NA,10,NA
1975,1,NA,15,23,NA,23,NA,45,NA,NA,34,19,NA,NA,NA,10,NA
1976,1,NA,17,21,NA,24,NA,53,NA,NA,47,32,NA,NA,NA,14,NA
1977,1,NA,17,23,NA,23,NA,56,NA,NA,43,34,NA,NA,NA,11,NA
1978,1,NA,17,27,NA,28,NA,51,NA,NA,46,37,NA,NA,NA,11,NA
1979,1,NA,14,19,NA,18,NA,32,NA,NA,22,26,NA,NA,NA,9,NA
1980,1,NA,6,10,NA,10,NA,20,NA,NA,25,14,NA,NA,NA,8,NA
1981,1,NA,17,22,NA,20,NA,32,NA,NA,24,34,NA,NA,NA,7,NA
1982,1,NA,18,27,NA,25,NA,47,NA,NA,40,34,NA,NA,NA,14,NA
1983,1,NA,17.7,21.2,NA,21.1,NA,41.8,NA,NA,34.5,29.7,NA,NA,NA,12.3,NA
1984,1,NA,11.1,22.4,NA,17.7,NA,30.7,NA,NA,28.4,33,NA,NA,1.92,9.5,NA
1985,1,NA,19.4,26.9,NA,25.1,NA,48,NA,NA,48.1,24.7,NA,NA,1.5,11.8,NA
1986,1,NA,21,29,NA,25.8,NA,65,NA,NA,57,26,NA,NA,2.33,18.1,NA
1987,1,NA,20.2,24.5,NA,25.1,NA,53.4,NA,NA,43.9,29.5,NA,NA,1.5,16.9,NA
1988,1,NA,13,9.4,NA,8.2,NA,16.3,NA,NA,18,13.4,NA,NA,1.65,7.8,NA
1989,1,NA,8.2,15.2,NA,13,NA,34,NA,NA,24.7,24.8,NA,NA,1.33,4.6,NA
1990,1,NA,22,30.7,NA,36.7,NA,56.3,NA,NA,57.5,34.4,NA,NA,1.5,8,NA
1991,1,NA,24.1,18.5,NA,21.9,NA,47.6,NA,NA,50.8,23.6,NA,NA,0.96,NA,NA
1992,1,NA,15,28.7,NA,28,1102,60.4,NA,NA,58.5,28.1,NA,NA,0.9,NA,NA
1993,1,NA,25.3,29.2,1400,30,1107,85.8,1200,25,59.8,30.6,NA,NA,1,25.6,NA
1994,1,NA,23.1,28.4,1117,31,1198,63.4,890,30,57.5,31.3,1700,NA,NA,20.1,NA
1995,1,32.9,15.9,20.7,1064,25.4,1387,55.1,1200,26.4,46,29.6,950,NA,1.07,19,NA
1996,1,35.1,19.3,25.8,733,22.4,1409,53.2,720,23.8,45.3,28.3,974,0,1.1,18,NA
1997,1,37.1,18.1,22.4,636.4,24.3,1274,52.8,NA,33.6,47.7,21.8,560,NA,1,15.4,NA
1998,1,31.9,26.5,25.4,690.4,29.3,1458.7,46,NA,25.9,49.9,36.9,NA,NA,NA,16.9,NA
1999,1,40,25,23.5,612.7,25.7,1285.7,26.2,NA,30.3,31.4,35.7,NA,NA,NA,21.1,NA
2000,1,66.7,25.3,34.7,696.8,31.7,1599.2,57.6,NA,36,44.9,46.9,NA,NA,NA,17,NA
2001,1,36,22.1,25.6,688,25.7,1297,65.6,NA,33,54.7,32.1,NA,NA,NA,15.7,NA
2002,1,26.6,18.2,25.4,578,23.6,1404,39.9,NA,25.5,38.6,36,880,NA,NA,12.2,NA
2003,1,31.9,15.9,24.9,352,NA,972,34.5,NA,24.9,38.1,30.8,684,NA,NA,9.3,NA
