Station,Year,Precip_May_Aug_mm,Days_Missing
Indian Head CDA,2015,207.3,1
Indian Head CDA,2016,254.7,2
Indian Head CDA,2017,116.6,1
Indian Head CDA,2018,148,2
Indian Head CDA,2019,212.8,2
Indian Head CDA,2020,113.4,2
Indian Head CDA,2021,295.1,1
Indian Head CDA,2022,285.6,5
Indian Head CDA,2023,119.2,0
Indian Head CDA,2024,247.8,1
Kelliher,2015,218,0
Kelliher,2016,245.4,0
Kelliher,2017,125.8,0
Kelliher,2018,158,0
Kelliher,2019,330,0
Kelliher,2020,194.6,0
Kelliher,2021,235.2,0
Kelliher,2022,414.2,0
Kelliher,2023,278.4,7
Kelliher,2024,338,0
Kipling,2015,183.2,2
Kipling,2016,313,0
Kipling,2017,157.4,0
Kipling,2018,274.1,0
Kipling,2019,251.8,1
Kipling,2020,178.2,0
Kipling,2021,204.2,0
Kipling,2022,370.8,0
Kipling,2023,184,0
Kipling,2024,294.6,0
Leader Airport,2015,112.8,2
Leader Airport,2016,470,3
Leader Airport,2017,114.5,1
Leader Airport,2018,104.8,1
Leader Airport,2019,196.5,1
Leader Airport,2020,151,3
Leader Airport,2021,116.1,1
Leader Airport,2022,115.4,0
Leader Airport,2023,81.1,0
Leader Airport,2024,132.6,0
Maple Creek,2015,111.1,2
Maple Creek,2016,304.4,2
Maple Creek,2017,85.2,5
Maple Creek,2018,184.9,5
Maple Creek,2019,157,1
Maple Creek,2020,111,1
Maple Creek,2021,127.6,1
Maple Creek,2022,223.9,0
Maple Creek,2023,144.4,3
Maple Creek,2024,231.9,3
Meadow Lake,2015,193.9,0
Meadow Lake,2016,211.1,1
Meadow Lake,2017,307.1,3
Meadow Lake,2018,309,4
Meadow Lake,2019,254.5,2
Meadow Lake,2020,321.5,1
Meadow Lake,2021,138.6,0
Meadow Lake,2022,282.5,1
Meadow Lake,2023,285.6,1
Meadow Lake,2024,237.8,4
Melfort,2015,269.1,1
Melfort,2016,279.5,0
Melfort,2017,126.9,2
Melfort,2018,197.8,4
Melfort,2019,209.6,3
Melfort,2020,201.3,2
Melfort,2021,138.5,1
Melfort,2022,240.3,0
Melfort,2023,124.3,0
Melfort,2024,210,1
Nipawin,2015,302.7,1
Nipawin,2016,301.2,1
Nipawin,2017,206.7,2
Nipawin,2018,209.4,5
Nipawin,2019,303.9,1
Nipawin,2020,260.6,2
Nipawin,2021,127.7,0
Nipawin,2022,245.5,21
Nipawin,2023,192.6,0
Nipawin,2024,239.3,1
North Battleford RCS,2015,178.7,1
North Battleford RCS,2016,234.3,2
North Battleford RCS,2017,192.3,1
North Battleford RCS,2018,197.2,1
North Battleford RCS,2019,163.1,2
North Battleford RCS,2020,371.9,2
North Battleford RCS,2021,127.4,1
North Battleford RCS,2022,241.9,1
North Battleford RCS,2023,139.3,1
North Battleford RCS,2024,241.1,1
Outlook PFRA,2015,240.8,11
Outlook PFRA,2016,366,9
Outlook PFRA,2017,135.5,2
Outlook PFRA,2018,85.5,3
Outlook PFRA,2019,192,1
Outlook PFRA,2020,172.2,1
Outlook PFRA,2021,96.4,10
Outlook PFRA,2022,168.2,1
Outlook PFRA,2023,94.6,1
Outlook PFRA,2024,210.6,2
Regina RCS,2015,214.4,1
Regina RCS,2016,264.4,2
Regina RCS,2017,65.8,2
Regina RCS,2018,106.6,11
Regina RCS,2019,234,1
Regina RCS,2020,150.2,1
Regina RCS,2021,257.3,3
Regina RCS,2022,184.6,1
Regina RCS,2023,170,0
Regina RCS,2024,198.8,0
Rosetown East,2015,183.7,1
Rosetown East,2016,411.6,4
Rosetown East,2017,108.3,2
Rosetown East,2018,112.6,2
Rosetown East,2019,201.8,2
Rosetown East,2020,176.7,2
Rosetown East,2021,102.6,1
Rosetown East,2022,161.7,1
Rosetown East,2023,137.2,0
Rosetown East,2024,235.4,1
Scott CDA,2015,144.4,1
Scott CDA,2016,271.9,3
Scott CDA,2017,178.7,4
Scott CDA,2018,130.4,9
Scott CDA,2019,236.2,1
Scott CDA,2020,257.8,2
Scott CDA,2021,149.4,2
Scott CDA,2022,186.7,1
Scott CDA,2023,159.1,1
Scott CDA,2024,255.7,3
Swift Current CDA,2015,163.7,2
Swift Current CDA,2016,375,2
Swift Current CDA,2017,79.8,1
Swift Current CDA,2018,94.6,5
Swift Current CDA,2019,204.6,2
Swift Current CDA,2020,156.8,4
Swift Current CDA,2021,146.9,2
Swift Current CDA,2022,164.6,1
Swift Current CDA,2023,179.3,1
Swift Current CDA,2024,124.2,24
Watrous East,2015,166,1
Watrous East,2016,340.5,2
Watrous East,2017,70,0
Watrous East,2018,187.7,0
Watrous East,2019,211.8,0
Watrous East,2020,133,4
Watrous East,2021,176.9,0
Watrous East,2022,146.4,11
Watrous East,2023,172.2,0
Watrous East,2024,245.2,0
Weyburn,2015,154.8,1
Weyburn,2016,229,1
Weyburn,2017,95.4,1
Weyburn,2018,229,2
Weyburn,2019,227.1,2
Weyburn,2020,185.9,6
Weyburn,2021,198.9,4
Weyburn,2022,297.2,5
Weyburn,2023,66.4,25
Weyburn,2024,199.7,7
