value,crop,colour
10,"Cloud",#000000
20,"Water",#3333ff
30,"Exposed land and barren",#996666
34,"Urban and developed",#cc6699
35,"Greenhouses",#e1e1e1
50,"Shrubland",#ffff00
60,"Forest fire and burnt area",#666666
80,"Wetland",#993399
85,"Peatland",#501b50
110,"Grassland",#cccc00
120,"Agriculture (undifferentiated)",#cc6600
121,"Cropland",#ff9933
122,"Pasture and forages",#ffcc33
130,"Too wet to be seeded",#7899f6
131,"Fallow",#ff9900
132,"Cereals",#660000
133,"Barley",#dae31d
134,"Other grains",#99cc00
135,"Millet",#d2db25
136,"Oats",#d1d52b
137,"Rye",#cacd32
138,"Spelt",#c3c63a
139,"Triticale",#b9bc44
140,"Wheat",#a7b34d
141,"Switchgrass",#b9c64e
142,"Sorghum",#999900
143,"Quinoa",#e9e2b1
145,"Winter wheat",#809769
146,"Spring wheat",#92a55b
147,"Corn for grain",#ffff99
148,"Tobacco",#98887c
149,"Ginseng",#799b93
150,"Oilseeds",#5ea263
151,"Borage",#52ae77
152,"Camelina",#41bf7a
153,"Canola",#d6ff70
154,"Flaxseed",#8c8cff
155,"Mustard",#d6cc00
156,"Safflower",#ff7f00
157,"Sunflower",#315491
158,"Soybeans",#cc9933
159,"Other oilseeds",#5ea296
160,"Pulses",#896e43
161,"Other pulses",#996633
162,"Peas",#8f6c3d
163,"Chickpeas",#b6a472
167,"Beans",#82654a
168,"Fababeans",#a39069
174,"Lentils",#b85900
175,"Vegetables",#b74b15
176,"Tomatoes",#ff8a8a
177,"Potatoes",#ffcccc
178,"Sugarbeets",#6f55ca
179,"Other vegetables",#ffccff
180,"Fruits",#dc5424
181,"Berries",#d05a30
182,"Blueberry",#d20000
183,"Cranberry",#cc0000
185,"Other berries",#dc3200
188,"Orchards",#ff6666
189,"Other fruits",#c5453b
190,"Vineyards",#7442bd
191,"Hops",#ffcc99
192,"Sod",#b5fb05
193,"Herbs",#ccff05
194,"Nursery",#07f98c
195,"Buckwheat",#00ffcc
196,"Canaryseed",#cc33cc
197,"Hemp",#8e7672
198,"Vetch",#b1954f
199,"Other crops",#749a66
200,"Forest (undifferentiated)",#009900
210,"Coniferous",#006600
220,"Broadleaf",#00cc00
230,"Mixedwood",#cc9900
