x,y,value
1,50,146
2,50,146
3,50,146
4,50,146
5,50,146
6,50,146
7,50,146
8,50,146
9,50,146
10,50,146
11,50,146
12,50,146
13,50,146
14,50,146
15,50,146
16,50,34
17,50,133
18,50,133
19,50,133
20,50,133
21,50,133
22,50,133
23,50,133
24,50,133
25,50,133
26,50,133
27,50,133
28,50,133
29,50,133
30,50,133
31,50,133
32,50,133
33,50,133
34,50,133
35,50,133
36,50,133
37,50,133
38,50,133
39,50,133
40,50,133
41,50,133
42,50,122
43,50,122
44,50,122
45,50,122
46,50,122
47,50,122
48,50,122
49,50,122
50,50,122
1,49,146
2,49,146
3,49,146
4,49,80
5,49,146
6,49,146
7,49,146
8,49,146
9,49,146
10,49,146
11,49,146
12,49,146
13,49,146
14,49,146
15,49,146
16,49,34
17,49,146
18,49,146
19,49,146
20,49,133
21,49,133
22,49,133
23,49,133
24,49,133
25,49,133
26,49,146
27,49,146
28,49,146
29,49,133
30,49,133
31,49,133
32,49,133
33,49,133
34,49,146
35,49,146
36,49,146
37,49,133
38,49,133
39,49,133
40,49,146
41,49,146
42,49,122
43,49,122
44,49,122
45,49,122
46,49,122
47,49,122
48,49,122
49,49,122
50,49,122
1,48,146
2,48,146
3,48,146
4,48,146
5,48,146
6,48,146
7,48,146
8,48,146
9,48,146
10,48,146
11,48,146
12,48,146
13,48,146
14,48,146
15,48,34
16,48,146
17,48,146
18,48,146
19,48,146
20,48,146
21,48,146
22,48,146
23,48,146
24,48,146
25,48,146
26,48,146
27,48,146
28,48,146
29,48,146
30,48,146
31,48,146
32,48,146
33,48,146
34,48,146
35,48,146
36,48,146
37,48,146
38,48,146
39,48,146
40,48,146
41,48,146
42,48,146
43,48,146
44,48,153
45,48,153
46,48,153
47,48,153
48,48,153
49,48,153
50,48,153
1,47,146
2,47,146
3,47,146
4,47,146
5,47,146
6,47,146
7,47,146
8,47,146
9,47,146
10,47,146
11,47,146
12,47,146
13,47,146
14,47,146
15,47,34
16,47,146
17,47,146
18,47,146
19,47,146
20,47,146
21,47,146
22,47,146
23,47,146
24,47,146
25,47,146
26,47,146
27,47,146
28,47,146
29,47,146
30,47,146
31,47,146
32,47,146
33,47,146
34,47,146
35,47,146
36,47,146
37,47,146
38,47,146
39,47,146
40,47,146
41,47,146
42,47,146
43,47,146
44,47,153
45,47,153
46,47,153
47,47,153
48,47,153
49,47,153
50,47,153
1,46,146
2,46,146
3,46,146
4,46,146
5,46,146
6,46,133
7,46,133
8,46,133
9,46,133
10,46,133
11,46,146
12,46,146
13,46,146
14,46,146
15,46,146
16,46,146
17,46,146
18,46,146
19,46,146
20,46,146
21,46,146
22,46,146
23,46,146
24,46,146
25,46,146
26,46,146
27,46,146
28,46,146
29,46,146
30,46,146
31,46,146
32,46,146
33,46,146
34,46,146
35,46,146
36,46,146
37,46,146
38,46,146
39,46,146
40,46,146
41,46,146
42,46,146
43,46,146
44,46,153
45,46,153
46,46,153
47,46,153
48,46,153
49,46,153
50,46,153
1,45,146
2,45,146
3,45,146
4,45,146
5,45,146
6,45,133
7,45,133
8,45,133
9,45,133
10,45,133
11,45,133
12,45,146
13,45,146
14,45,146
15,45,146
16,45,34
17,45,146
18,45,146
19,45,146
20,45,146
21,45,146
22,45,146
23,45,146
24,45,146
25,45,146
26,45,146
27,45,146
28,45,146
29,45,146
30,45,146
31,45,146
32,45,146
33,45,146
34,45,146
35,45,146
36,45,146
37,45,146
38,45,146
39,45,146
40,45,146
41,45,146
42,45,146
43,45,146
44,45,153
45,45,153
46,45,153
47,45,153
48,45,153
49,45,153
50,45,153
1,44,133
2,44,133
3,44,133
4,44,146
5,44,146
6,44,146
7,44,133
8,44,133
9,44,133
10,44,146
11,44,146
12,44,146
13,44,146
14,44,146
15,44,146
16,44,34
17,44,146
18,44,146
19,44,146
20,44,146
21,44,80
22,44,146
23,44,146
24,44,146
25,44,146
26,44,146
27,44,146
28,44,146
29,44,146
30,44,133
31,44,146
32,44,146
33,44,146
34,44,146
35,44,146
36,44,146
37,44,146
38,44,146
39,44,146
40,44,146
41,44,146
42,44,146
43,44,146
44,44,153
45,44,153
46,44,153
47,44,153
48,44,153
49,44,153
50,44,153
1,43,133
2,43,133
3,43,133
4,43,146
5,43,146
6,43,146
7,43,146
8,43,146
9,43,146
10,43,80
11,43,146
12,43,146
13,43,146
14,43,146
15,43,34
16,43,146
17,43,146
18,43,146
19,43,146
20,43,146
21,43,146
22,43,146
23,43,146
24,43,146
25,43,146
26,43,146
27,43,133
28,43,133
29,43,133
30,43,133
31,43,133
32,43,133
33,43,133
34,43,133
35,43,146
36,43,146
37,43,146
38,43,146
39,43,146
40,43,146
41,43,146
42,43,146
43,43,146
44,43,153
45,43,153
46,43,153
47,43,153
48,43,153
49,43,153
50,43,153
1,42,146
2,42,80
3,42,80
4,42,146
5,42,146
6,42,146
7,42,146
8,42,146
9,42,146
10,42,80
11,42,153
12,42,146
13,42,146
14,42,146
15,42,34
16,42,146
17,42,146
18,42,146
19,42,146
20,42,146
21,42,146
22,42,146
23,42,146
24,42,146
25,42,146
26,42,146
27,42,133
28,42,133
29,42,133
30,42,146
31,42,146
32,42,20
33,42,20
34,42,146
35,42,146
36,42,146
37,42,146
38,42,146
39,42,146
40,42,146
41,42,146
42,42,153
43,42,153
44,42,153
45,42,153
46,42,153
47,42,153
48,42,153
49,42,153
50,42,153
1,41,80
2,41,146
3,41,146
4,41,146
5,41,146
6,41,146
7,41,146
8,41,146
9,41,146
10,41,146
11,41,153
12,41,153
13,41,153
14,41,153
15,41,153
16,41,146
17,41,146
18,41,146
19,41,146
20,41,146
21,41,80
22,41,146
23,41,146
24,41,146
25,41,146
26,41,146
27,41,146
28,41,146
29,41,146
30,41,146
31,41,146
32,41,210
33,41,210
34,41,210
35,41,146
36,41,146
37,41,146
38,41,146
39,41,146
40,41,146
41,41,146
42,41,146
43,41,146
44,41,153
45,41,153
46,41,153
47,41,153
48,41,153
49,41,153
50,41,153
1,40,146
2,40,146
3,40,146
4,40,146
5,40,146
6,40,146
7,40,146
8,40,146
9,40,146
10,40,80
11,40,20
12,40,153
13,40,153
14,40,153
15,40,153
16,40,34
17,40,146
18,40,146
19,40,146
20,40,146
21,40,210
22,40,210
23,40,210
24,40,210
25,40,210
26,40,146
27,40,146
28,40,146
29,40,133
30,40,133
31,40,133
32,40,133
33,40,133
34,40,146
35,40,146
36,40,146
37,40,146
38,40,146
39,40,146
40,40,146
41,40,210
42,40,80
43,40,80
44,40,80
45,40,153
46,40,153
47,40,153
48,40,153
49,40,153
50,40,153
1,39,146
2,39,146
3,39,146
4,39,146
5,39,146
6,39,146
7,39,146
8,39,146
9,39,146
10,39,153
11,39,80
12,39,153
13,39,153
14,39,153
15,39,153
16,39,34
17,39,146
18,39,146
19,39,146
20,39,146
21,39,146
22,39,210
23,39,210
24,39,210
25,39,146
26,39,146
27,39,146
28,39,146
29,39,146
30,39,133
31,39,133
32,39,133
33,39,133
34,39,146
35,39,146
36,39,146
37,39,146
38,39,146
39,39,146
40,39,146
41,39,210
42,39,153
43,39,153
44,39,153
45,39,153
46,39,153
47,39,153
48,39,153
49,39,153
50,39,153
1,38,133
2,38,146
3,38,146
4,38,133
5,38,133
6,38,146
7,38,146
8,38,146
9,38,146
10,38,153
11,38,153
12,38,153
13,38,153
14,38,153
15,38,34
16,38,146
17,38,146
18,38,146
19,38,146
20,38,146
21,38,146
22,38,146
23,38,146
24,38,146
25,38,146
26,38,146
27,38,146
28,38,146
29,38,146
30,38,146
31,38,146
32,38,146
33,38,146
34,38,146
35,38,146
36,38,146
37,38,146
38,38,146
39,38,146
40,38,146
41,38,146
42,38,153
43,38,153
44,38,153
45,38,153
46,38,153
47,38,153
48,38,153
49,38,153
50,38,153
1,37,133
2,37,133
3,37,133
4,37,133
5,37,133
6,37,133
7,37,133
8,37,133
9,37,133
10,37,154
11,37,154
12,37,154
13,37,154
14,37,154
15,37,34
16,37,146
17,37,146
18,37,146
19,37,146
20,37,146
21,37,146
22,37,146
23,37,146
24,37,146
25,37,146
26,37,146
27,37,146
28,37,146
29,37,146
30,37,146
31,37,146
32,37,146
33,37,146
34,37,146
35,37,146
36,37,146
37,37,146
38,37,146
39,37,146
40,37,146
41,37,146
42,37,153
43,37,153
44,37,153
45,37,153
46,37,153
47,37,153
48,37,153
49,37,153
50,37,153
1,36,133
2,36,133
3,36,133
4,36,133
5,36,133
6,36,133
7,36,133
8,36,133
9,36,133
10,36,133
11,36,133
12,36,154
13,36,154
14,36,154
15,36,154
16,36,34
17,36,210
18,36,210
19,36,146
20,36,146
21,36,146
22,36,146
23,36,146
24,36,146
25,36,146
26,36,146
27,36,146
28,36,146
29,36,146
30,36,146
31,36,146
32,36,146
33,36,146
34,36,146
35,36,146
36,36,146
37,36,146
38,36,146
39,36,146
40,36,146
41,36,146
42,36,146
43,36,146
44,36,153
45,36,153
46,36,153
47,36,153
48,36,153
49,36,153
50,36,153
1,35,133
2,35,133
3,35,133
4,35,133
5,35,133
6,35,133
7,35,133
8,35,133
9,35,133
10,35,133
11,35,133
12,35,133
13,35,133
14,35,154
15,35,154
16,35,34
17,35,146
18,35,146
19,35,146
20,35,146
21,35,80
22,35,80
23,35,80
24,35,146
25,35,146
26,35,146
27,35,146
28,35,146
29,35,146
30,35,146
31,35,146
32,35,146
33,35,146
34,35,146
35,35,146
36,35,146
37,35,146
38,35,146
39,35,146
40,35,146
41,35,146
42,35,146
43,35,146
44,35,153
45,35,153
46,35,153
47,35,153
48,35,153
49,35,153
50,35,153
1,34,133
2,34,133
3,34,133
4,34,133
5,34,133
6,34,133
7,34,133
8,34,133
9,34,133
10,34,133
11,34,133
12,34,133
13,34,133
14,34,133
15,34,133
16,34,34
17,34,146
18,34,146
19,34,146
20,34,146
21,34,146
22,34,146
23,34,146
24,34,146
25,34,146
26,34,146
27,34,146
28,34,146
29,34,146
30,34,146
31,34,133
32,34,146
33,34,146
34,34,146
35,34,146
36,34,146
37,34,146
38,34,146
39,34,146
40,34,146
41,34,146
42,34,146
43,34,146
44,34,153
45,34,153
46,34,153
47,34,153
48,34,153
49,34,153
50,34,153
1,33,146
2,33,133
3,33,133
4,33,133
5,33,133
6,33,133
7,33,133
8,33,133
9,33,133
10,33,34
11,33,34
12,33,34
13,33,34
14,33,133
15,33,34
16,33,146
17,33,146
18,33,146
19,33,210
