field_id,region,variety,acres,yield_bu_ac,fertilizer_kg_ha,irrigated
F001,Central,InVigor L345PC,123,47.8,54,FALSE
F002,North,PV 581 GC,203,38.9,96,FALSE
F003,North,PV 581 GC,216,46.8,158,TRUE
F004,South,DKTC 9105,315,52.5,110,FALSE
F005,South,InVigor L345PC,263,43.5,135,FALSE
F006,South,PV 581 GC,115,40.7,67,FALSE
F007,Central,PV 581 GC,281,45.8,106,FALSE
F008,South,InVigor L345PC,288,34.5,86,FALSE
F009,North,DKTC 9105,259,45.8,115,TRUE
F010,North,DKTC 9105,232,41.1,82,FALSE
F011,South,Liberty 6060,222,39.5,126,FALSE
F012,South,DKTC 9105,138,39.9,105,FALSE
F013,South,DKTC 9105,216,48.9,139,FALSE
F014,North,Liberty 6060,197,40.7,89,FALSE
F015,Central,Liberty 6060,241,50.8,147,FALSE
F016,South,DKTC 9105,189,46.9,141,FALSE
F017,South,Liberty 6060,142,42.8,145,FALSE
F018,North,PV 581 GC,248,40.5,66,FALSE
F019,Central,PV 581 GC,397,41.8,93,FALSE
F020,Central,Liberty 6060,364,56.2,146,FALSE
F021,North,PV 581 GC,225,45.5,80,FALSE
F022,South,Liberty 6060,179,45.0,129,TRUE
F023,South,InVigor L345PC,178,45.4,96,FALSE
F024,Central,Liberty 6060,333,45.6,136,FALSE
F025,South,Liberty 6060,134,40.7,78,FALSE
F026,South,DKTC 9105,316,36.4,62,FALSE
F027,Central,InVigor L345PC,185,51.0,125,FALSE
F028,Central,PV 581 GC,110,42.4,147,FALSE
F029,South,PV 581 GC,133,39.0,133,TRUE
F030,North,PV 581 GC,223,37.8,53,FALSE
F031,Central,Liberty 6060,336,48.6,65,FALSE
F032,Central,DKTC 9105,419,48.8,62,FALSE
F033,Central,PV 581 GC,83,51.6,95,FALSE
F034,North,DKTC 9105,398,32.9,70,FALSE
F035,South,InVigor L345PC,153,35.5,54,FALSE
F036,Central,Liberty 6060,85,45.4,81,TRUE
F037,North,InVigor L345PC,226,45.8,93,FALSE
F038,North,Liberty 6060,71,39.8,61,FALSE
F039,South,PV 581 GC,252,42.3,153,FALSE
F040,South,PV 581 GC,77,39.0,61,FALSE
F041,South,DKTC 9105,160,46.8,147,FALSE
F042,North,PV 581 GC,134,47.8,155,FALSE
F043,North,InVigor L345PC,356,51.7,96,FALSE
F044,North,DKTC 9105,227,40.8,131,FALSE
F045,Central,PV 581 GC,219,45.4,96,TRUE
F046,Central,DKTC 9105,221,50.2,117,TRUE
F047,North,Liberty 6060,200,49.3,97,FALSE
F048,South,InVigor L345PC,62,46.5,141,TRUE
F049,Central,PV 581 GC,135,52.6,117,FALSE
F050,North,InVigor L345PC,220,42.6,56,FALSE
