order_id,order_date,supplier,product,price_per_unit,quantity,unit
O0001,2025-03-02,GrainLand Services,Urea,0.94,50,kg
O0002,2025-07-13,Prairie Ag Supply,Glyphosate,9.93,500,L
O0003,2025-07-03,NorthField Inputs,Urea,0.85,100,kg
O0004,2025-04-25,GrainLand Services,Glyphosate,10.09,50,L
O0005,2025-07-29,Western Seed Co,Glyphosate,10.79,500,L
O0006,2025-08-09,Prairie Ag Supply,Glyphosate,10.33,200,L
O0007,2025-05-25,GrainLand Services,Urea,0.89,50,kg
O0008,2025-06-11,Western Seed Co,Glyphosate,9.77,50,L
O0009,2025-08-26,Prairie Ag Supply,Urea,0.91,100,kg
O0010,2025-06-15,NorthField Inputs,Urea,0.97,100,kg
O0011,2025-06-04,Western Seed Co,Diesel,1.55,100,L
O0012,2025-07-17,Western Seed Co,Glyphosate,8.85,200,L
O0013,2025-05-26,Prairie Ag Supply,Phosphate,1.07,200,kg
O0014,2025-05-20,Western Seed Co,Phosphate,0.99,200,kg
O0015,2025-05-06,Western Seed Co,Glyphosate,10.87,100,L
O0016,2025-03-14,NorthField Inputs,Urea,0.96,50,kg
O0017,2025-05-06,GrainLand Services,Phosphate,1.04,2000,kg
O0018,2025-05-21,Prairie Ag Supply,Diesel,1.34,1000,L
O0019,2025-04-08,NorthField Inputs,Canola Seed,12.44,500,lb
O0020,2025-08-25,NorthField Inputs,Canola Seed,13.0,1000,lb
O0021,2025-04-11,Prairie Ag Supply,Glyphosate,10.15,1000,L
O0022,2025-06-22,Western Seed Co,Canola Seed,13.12,1000,lb
O0023,2025-07-21,GrainLand Services,Canola Seed,14.23,500,lb
O0024,2025-04-08,Western Seed Co,Phosphate,0.99,100,kg
O0025,2025-04-29,NorthField Inputs,Urea,0.95,100,kg
O0026,2025-06-29,Western Seed Co,Phosphate,0.94,2000,kg
O0027,2025-06-01,NorthField Inputs,Diesel,1.33,50,L
O0028,2025-06-23,NorthField Inputs,Urea,0.95,1000,kg
O0029,2025-07-23,Prairie Ag Supply,Diesel,1.23,1000,L
O0030,2025-05-18,Western Seed Co,Diesel,1.25,200,L
O0031,2025-03-19,Western Seed Co,Diesel,1.53,50,L
O0032,2025-04-20,Western Seed Co,Canola Seed,13.82,1000,lb
O0033,2025-07-26,Prairie Ag Supply,Glyphosate,9.61,200,L
O0034,2025-07-09,Prairie Ag Supply,Canola Seed,13.18,100,lb
O0035,2025-07-06,Prairie Ag Supply,Diesel,1.45,100,L
O0036,2025-08-11,NorthField Inputs,Phosphate,0.86,100,kg
O0037,2025-08-11,GrainLand Services,Urea,0.85,200,kg
O0038,2025-07-09,GrainLand Services,Glyphosate,10.74,500,L
O0039,2025-04-11,Western Seed Co,Diesel,1.33,100,L
O0040,2025-04-20,Prairie Ag Supply,Glyphosate,10.38,200,L
O0041,2025-07-30,Prairie Ag Supply,Diesel,1.54,200,L
O0042,2025-07-03,Western Seed Co,Canola Seed,14.34,100,lb
O0043,2025-05-07,Prairie Ag Supply,Glyphosate,9.09,50,L
O0044,2025-06-27,NorthField Inputs,Phosphate,1.04,100,kg
O0045,2025-06-21,GrainLand Services,Glyphosate,9.75,200,L
O0046,2025-07-25,GrainLand Services,Urea,0.92,2000,kg
O0047,2025-07-01,NorthField Inputs,Diesel,1.4,100,L
O0048,2025-04-08,GrainLand Services,Diesel,1.45,1000,L
O0049,2025-05-05,NorthField Inputs,Glyphosate,10.02,100,L
O0050,2025-05-20,Western Seed Co,Phosphate,1.02,100,kg
O0051,2025-04-14,NorthField Inputs,Phosphate,1.04,100,kg
O0052,2025-03-05,Prairie Ag Supply,Phosphate,1.0,2000,kg
O0053,2025-06-20,NorthField Inputs,Diesel,1.47,50,L
O0054,2025-05-23,Prairie Ag Supply,Diesel,1.5,200,L
O0055,2025-06-05,Western Seed Co,Canola Seed,13.59,50,lb
O0056,2025-03-15,Prairie Ag Supply,Diesel,1.22,200,L
O0057,2025-06-17,Prairie Ag Supply,Urea,0.89,500,kg
O0058,2025-08-28,NorthField Inputs,Diesel,1.3,100,L
O0059,2025-05-25,Western Seed Co,Urea,0.92,200,kg
O0060,2025-08-03,Prairie Ag Supply,Urea,0.96,500,kg
