Year,Province,Crop,Seeded_acres,Yield_bu_ac
2023,Alberta,Barley,3835000,62.9
2023,Alberta,Canola,6362800,40.1
2023,Alberta,Oats,698700,85.4
2023,Alberta,Spring wheat,6804900,47.1
2023,Manitoba,Barley,414500,75.4
2023,Manitoba,Canola,3128200,44.6
2023,Manitoba,Oats,474900,92.6
2023,Manitoba,Soybeans,1595400,36.2
2023,Manitoba,Spring wheat,3166100,62.8
2023,Ontario,Barley,52500,69.1
2023,Ontario,Canola,45100,53.4
2023,Ontario,Oats,60600,86.6
2023,Ontario,Soybeans,2913000,51.4
2023,Ontario,Spring wheat,80200,64.7
2023,Quebec,Barley,84500,46.1
2023,Quebec,Canola,38600,40.9
2023,Quebec,Oats,151700,63.3
2023,Quebec,Soybeans,1001500,48.9
2023,Quebec,Spring wheat,184800,37.2
2023,Saskatchewan,Barley,2803800,57.4
2023,Saskatchewan,Canola,12400400,37.4
2023,Saskatchewan,Oats,1033000,83.4
2023,Saskatchewan,Soybeans,68000,24.2
2023,Saskatchewan,Spring wheat,9141200,46.9
2024,Alberta,Barley,3505000,60.6
2024,Alberta,Canola,6385300,39.1
2024,Alberta,Oats,789300,73.3
2024,Alberta,Soybeans,1300,
2024,Alberta,Spring wheat,6473000,49.0
2024,Manitoba,Barley,311200,78.3
2024,Manitoba,Canola,3336200,40.2
2024,Manitoba,Oats,522700,119.4
2024,Manitoba,Soybeans,1425700,44.6
2024,Manitoba,Spring wheat,3183400,65.5
2024,Ontario,Barley,56800,76.3
2024,Ontario,Canola,56400,49.3
2024,Ontario,Oats,77500,90.5
2024,Ontario,Soybeans,3118500,52.9
2024,Ontario,Spring wheat,65100,49.6
2024,Quebec,Barley,85700,60.5
2024,Quebec,Canola,38200,41.8
2024,Quebec,Oats,142200,67.7
2024,Quebec,Soybeans,1036200,51.3
2024,Quebec,Spring wheat,145900,44.7
2024,Saskatchewan,Barley,2313600,64.9
2024,Saskatchewan,Canola,12085600,38.3
2024,Saskatchewan,Oats,1263100,86.5
2024,Saskatchewan,Soybeans,67000,25.3
2024,Saskatchewan,Spring wheat,8960100,49.9
