Field ID,VARIETY_NAME,SeededDate,Yield (bu/ac),harvest weight,N rate,Moisture %
F001,AAC Viewfield,06-01-2026,59.0,230.3 t,118.6,15.5
F002,Brandon,2026-05-13,60.0,169.4 t,95.5,12.4
F003,CDC Landmark,2026/05/14,60.3,128.8 t,0.125,13.7
F004,Brandon AAC,May-23-2026,-99,174.2 t,134.3,13.8
F005,CDC Landmark,05-19-2026,51.7,118.6 t,137.2,14.4
F006,Brndon,2026-05-12,55.8,115.8 t,0.09,N/A
F007,AAC Viewfield,2026/05/24,-12,216.6 t,140.9,15.0
F008,AAC Brandon,May-02-2026,63.7,102.8 t,91.8,15.5
F009,CDC Landmark,05-18-2026,57.3,97.4 t,0.134,14.5
F010,Brandon,2026-05-16,65.7,214.6 t,92.4,14.3
F011,CDC Landmark,2026/06/15,57.6,235.8 t,104.0,15.8
F012,Brandon AAC,May-07-2026,53.5,182.9 t,0.127,13.3
F013,AAC Viewfield,05-14-2026,58.2,107.1 t,102.2,14.0
F014,Brndon,2026-06-13,55.6,176.8 t,128.6,missing
F015,CDC Landmark,2026/05/18,52.6,130.2 t,0.106,14.5
F016,AAC Brandon,May-20-2026,62.8,240.8 t,103.2,15.7
F017,CDC Landmark,05-15-2026,60.1,179.5 t,113.7,15.5
F018,Brandon,2026-05-17,73.8,114.6 t,0.141,12.4
F019,AAC Viewfield,2026/05/15,1250,200.4 t,138.0,13.8
F020,Brandon AAC,Jun-27-2026,62.8,143.5 t,140.1,13.3
F021,CDC Landmark,05-15-2026,71.0,201.3 t,0.101,14.7
F022,Brndon,2026-06-11,68.3,253.9 t,99.5,
F023,CDC Landmark,2026/05/03,-99,140.5 t,130.3,13.6
F024,AAC Brandon,Jun-11-2026,61.3,187.9 t,0.111,15.8
F025,AAC Viewfield,05-02-2026,38.4,146.0 t,134.0,12.8
F026,Brandon,2026-05-22,60.4,124.4 t,140.6,16.3
F027,CDC Landmark,2026/05/13,60.0,206.4 t,0.129,15.6
F028,Brandon AAC,Jun-10-2026,50.9,113.7 t,137.6,15.9
F029,CDC Landmark,05-11-2026,61.8,186.1 t,125.3,12.5
F030,Brndon,2026-05-15,70.8,241.3 t,0.126,9999
F031,AAC Viewfield,2026/06/13,-99,115.9 t,123.1,15.2
F032,AAC Brandon,May-26-2026,53.7,208.4 t,95.7,16.1
F033,CDC Landmark,05-25-2026,56.6,158.9 t,0.135,16.4
F034,Brandon,2026-05-17,60.6,122.2 t,123.4,12.5
F035,CDC Landmark,2026/05/21,55.3,115.2 t,86.0,12.4
F036,Brandon AAC,May-17-2026,55.7,148.7 t,0.085,12.9
F012,Brandon AAC,May-07-2026,53.5,182.9 t,0.127,13.3
F027,CDC Landmark,2026/05/13,60.0,206.4 t,0.129,15.6
