Field ID,VARIETY_NAME,SeededDate,Acres,Yield (bu/ac),harvest weight,N rate,Moisture %
F001,AAC Viewfield,06-01-2026,160,67.6,297.7 t,97.1,12.4
F002,Brandon,2026-05-13,320,54.9,476.0 t,96.2,14.7
F003,CDC Landmark,2026/06/04,120,54.4,172.6 t,0.081,12.3
F002,Brandon,2026-05-13,320,54.9,476.0 t,96.2,14.7
F004,Brandon AAC,Jun-18-2026,320,-99,642.5 t,116.7,15.4
F005,CDC Landmark,06-06-2026,320,65.8,561.5 t,89.9,12.3
F006,Brndon,2026-05-24,160,50.8,222.8 t,0.113,N/A
F005,CDC Landmark,06-06-2026,320,65.8,561.5 t,89.9,12.3
F007,AAC Viewfield,2026/06/07,80,-12,138.6 t,135.9,14.5
F008,AAC Brandon,May-18-2026,160,60.3,264.0 t,127.3,12.4
F009,CDC Landmark,05-20-2026,160,51.5,226.5 t,0.081,13.7
F010,Brandon,2026-05-19,160,58.9,256.6 t,92.4,16.4
F011,CDC Landmark,2026/05/18,320,54.4,481.3 t,82.9,12.0
F012,Brandon AAC,May-17-2026,240,62.0,402.2 t,0.103,13.5
F013,AAC Viewfield,05-18-2026,240,41.5,269.8 t,82.7,16.5
