field_id,region,variety,acres,yield_bu_acre,year,seeding_date,units
F001,North,DKTC,202,48.3,2025,2025-04-28,bu/ac
F002,Central,DKTC,429,43.7,2024,2024-04-20,bu/ac
F003,North,Clearfield,165,39.8,2025,2025-05-25,bu/ac
F004,South,DKTC,444,38.3,2025,2025-04-28,bu/ac
F005,South,Clearfield,408,40.4,2024,2024-05-11,bu/ac
F006,South,InVigor,133,41.6,2025,2025-04-22,bu/ac
F007,Central,InVigor,431,,2024,2024-05-05,bu/ac
F008,Central,DKTC,220,49.9,2024,2024-04-22,bu/ac
F009,South,InVigor,467,48.1,2025,2025-05-14,bu/ac
F010,South,Clearfield,480,56.7,2024,2024-05-03,bu/ac
F011,Central,DKTC,201,49.5,2024,2024-05-10,bu/ac
F012,Central,InVigor,383,44.0,2024,2024-05-09,bu/ac
F013,North,DKTC,424,46.6,2024,2024-05-17,bu/ac
F014,South,InVigor,238,50.0,2024,2024-04-27,bu/ac
F015,Central,DKTC,216,42.0,2025,2025-05-22,bu/ac
F016,North,Clearfield,165,43.1,2025,2025-05-08,bu/ac
F017,South,InVigor,173,49.1,2025,2025-05-09,bu/ac
F018,North,InVigor,120,54.2,2025,2025-04-26,bu/ac
F019,South,InVigor,388,50.7,2024,2024-05-12,bu/ac
F020,North,InVigor,130,42.6,2025,2025-04-30,bu/ac
F021,South,InVigor,353,33.4,2024,2024-05-06,bu/ac
F022,North,DKTC,433,,2024,2024-04-29,bu/ac
F023,Central,DKTC,257,46.1,2025,2025-04-27,bu/ac
F024,North,InVigor,427,45.8,2024,2024-05-24,bu/ac
F025,Central,DKTC,338,38.1,2024,2024-05-08,bu/ac
F026,North,InVigor,106,48.4,2025,2025-04-23,bu/ac
F027,South,DKTC,64,46.5,2024,2024-04-24,bu/ac
F028,South,InVigor,168,41.2,2025,2025-05-11,bu/ac
F029,North,InVigor,270,53.4,2025,2025-05-24,bu/ac
F030,North,InVigor,79,37.2,2025,2025-05-07,bu/ac
F031,South,Clearfield,343,42.2,2024,2024-04-22,bu/ac
F032,South,InVigor,376,46.9,2024,2024-04-28,bu/ac
F033,South,InVigor,367,44.4,2025,2025-05-19,bu/ac
F034,Central,DKTC,392,36.4,2024,2024-05-05,bu/ac
F035,North,InVigor,201,54.3,2024,2024-05-05,bu/ac
F036,Central,Clearfield,346,48.8,2024,2024-05-13,bu/ac
F037,Central,DKTC,454,51.1,2024,2024-04-27,bu/ac
F038,North,DKTC,164,46.0,2024,2024-05-09,bu/ac
F039,Central,Clearfield,151,40.6,2024,2024-04-22,bu/ac
F040,North,Clearfield,373,42.9,2025,2025-05-14,bu/ac
F041,Central,InVigor,475,,2025,2025-05-13,bu/ac
F042,Central,DKTC,304,50.8,2024,2024-05-09,bu/ac
F043,Central,DKTC,206,45.2,2024,2024-05-12,bu/ac
F044,Central,DKTC,268,60.7,2024,2024-05-14,bu/ac
F045,North,InVigor,193,54.6,2025,2025-05-06,bu/ac
F046,Central,InVigor,383,53.1,2025,2025-05-22,bu/ac
F047,Central,InVigor,345,53.2,2025,2025-05-22,bu/ac
F048,South,Clearfield,408,39.2,2025,2025-05-05,bu/ac
F049,North,DKTC,358,44.9,2024,2024-05-24,bu/ac
F050,South,DKTC,413,43.5,2024,2024-05-13,bu/ac
F051,North,Clearfield,302,55.3,2025,2025-05-02,bu/ac
F052,South,Clearfield,277,31.0,2024,2024-05-03,bu/ac
F053,North,InVigor,232,45.3,2025,2025-04-29,bu/ac
F054,Central,Clearfield,333,51.6,2025,2025-04-28,bu/ac
F055,Central,DKTC,324,45.7,2025,2025-05-24,bu/ac
F056,South,DKTC,472,32.1,2024,2024-04-25,bu/ac
F057,Central,InVigor,94,53.9,2024,2024-05-11,bu/ac
F058,South,Clearfield,208,36.7,2025,2025-05-09,bu/ac
F059,North,DKTC,94,45.8,2024,2024-05-07,bu/ac
F060,North,InVigor,372,49.3,2024,2024-05-25,bu/ac
