ticket_id,delivery_date,crop,weight_tonnes,moisture_pct,grade
T0001,2025-09-07,barley,44.0,10.4,3
T0002,2025-11-25,Peas,44.8,7.5,3
T0003,2025-09-23,barley,38.0,10.2,2
T0004,15/10/2025,canola,34.7,7.0,3
T0005,2025-10-16,Peas,42.2,9.0,1
T0006,2025-09-11,Spring wheat,-12.4,9.7,2
T0007,2025-11-20,Barley,29.5,9.3,3
T0008,2025-10-27,Spring wheat,48.1,,3
T0009,2025-09-21,Spring wheat,39.2,8.2,2
T0010,2025-10-28,Canola ,42.9,0.099,3
T0011,2025-09-17,Peas,37.9,9.2,2
T0012,2025-09-24,Peas,28.9,7.8,2
T0012,2025-09-24,Peas,28.9,7.8,2
T0013,2025-09-10,spring wheat,36.5,11.2,2
T0014,2025-10-11,Spring wheat,36.2,7.9,1
T0015,2025-11-11,Spring Wheat,32.8,12.0,2
T0016,2025-11-28,canola,41.5,9.3,3
T0017,2025-11-15,spring wheat,33.3,11.3,2
T0018,2025-09-08,Peas,41.6,250,2
T0019,2025-11-13,barley,33.2,14.6,2
T0020,2025-11-06,Spring wheat,22.7,9.0,1
T0021,2025-11-15,Peas,31.0,10.9,1
T0022,2025-10-01,peas,17.4,14.2,N/A
T0023,2025-09-12,CANOLA,41.7,8.0,2
T0024,2025-11-03,spring wheat,41.9,7.8,3
T0025,2025-09-14,Spring wheat,42.9,6.6,2
T0026,2025-10-26,spring wheat,44.2,10.7,3
T0027,2025-11-13,peas,42.8,0.086,3
T0028,2025-11-14,Spring wheat,40.8,9.8,3
T0029,2025-09-10,Peas,39.0,9.8,3
T0030,2025-10-23,Barley,38.8,9.6,1
T0030,2025-10-23,Barley,43.0,9.6,1
T0031,2025-10-24,canola,40.0,7.7,3
T0032,2025-09-07,Barley,49.8,8.1,2
T0033,2025-11-02,barley,35.0,8.9,1
T0034,2025-10-04,Peas,33.7,NA,2
T0035,2025-11-01,barley,44.5,9.0,3
T0036,2025-09-25,barley,44.6,10.5,3
T0037,2025-10-06,peas,48.7,12.2,1
T0038,2025-11-22,barley,32.9,8.6,3
T0039,2025-09-04,Peas,38.2 t,10.0,1
T0040,2025-10-04,Canola ,27.6,10.3,1
T0041,2025-10-02,CANOLA,46.7,12.3,2
T0042,2025-09-15,Canola,33.2,10.8,1
T0043,2025-11-24,Canola,0,10.2,3
T0044,2025-11-25,Barley,41.6,7.5,1
T0045,2025-11-13,peas,29.8,10.5,2
T0046,2025-09-12,peas,36.9,8.1,2
T0047,03/11/2025,Barley,48.7,7.7,2
T0048,2025-09-03,peas,30.1,9.7,3
T0049,2025-11-23,barley,41.4,9.5,3
T0050,2025-09-05,spring wheat,30.3,0.09,1
T0051,2025-09-28,Peas,48.5,9.6,3
T0052,2025-10-07,canola,32.5,10.9,3
T0053,2025-11-23,Spring Wheat,45.2,11.3,2
T0054,2025-10-07,peas,25.4,9.3,2
T0055,2025-09-13,Spring wheat,30.0,10.5,3
T0056,2025-11-04,Canola,36.3,9.2,1
T0057,2025-09-15,barley,39.9,9.7,3
T0058,2025-10-12,Canola ,40.6,9.4,3
T0059,2025-09-18,Peas,44.2,8.8,2
T0060,2025-11-01,Peas,36.1,8.8,2
