Year,Municipality,Variety,Farms,Acres,Yield_bu_ac,Reported
2020,ALEXANDER,AAC BRANDON (BW 932),5,1411,50.3,TRUE
2020,ALEXANDER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1448,73.1,TRUE
2020,ALONSA,AAC BRANDON (BW 932),11,5732,65.1,TRUE
2020,ARGYLE,AAC BRANDON (BW 932),67,28908,59.4,TRUE
2020,ARGYLE,AAC REDBERRY,7,1590,47.8,TRUE
2020,ARGYLE,CARDALE (BW429),3,537,30,TRUE
2020,ARMSTRONG,AAC BRANDON (BW 932),9,1790,58.6,TRUE
2020,BIFROST-RIVERTON,AAC BRANDON (BW 932),71,26811,68.5,TRUE
2020,BIFROST-RIVERTON,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,12,5035,79.1,TRUE
2020,BIFROST-RIVERTON,CS DAYBREAK <CANTERRA>,3,782,72.3,TRUE
2020,BIFROST-RIVERTON,SY TORACH <SYNGENTA>,3,710,77.3,TRUE
2020,BOISSEVAIN-MORTON,AAC BRANDON (BW 932),45,23424,71.5,TRUE
2020,BOISSEVAIN-MORTON,AAC ELIE(BW931),6,3739,74.2,TRUE
2020,BOISSEVAIN-MORTON,AAC REDBERRY,8,1634,68.3,TRUE
2020,BOISSEVAIN-MORTON,AAC STARBUCK <SECAN>,3,701,69.5,TRUE
2020,BOISSEVAIN-MORTON,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1473,67.6,TRUE
2020,BOISSEVAIN-MORTON,AAC WHEATLAND <SECAN>,3,745,75.7,TRUE
2020,BRENDA-WASKADA,AAC BRANDON (BW 932),48,32563,64.7,TRUE
2020,BRENDA-WASKADA,AAC CAMERON VB <CANTERRA>,3,1079,63,TRUE
2020,BRENDA-WASKADA,AAC ELIE(BW931),22,10997,62,TRUE
2020,BRENDA-WASKADA,AAC REDBERRY,4,892,64.7,TRUE
2020,BROKENHEAD,AAC BRANDON (BW 932),35,8067,65.2,TRUE
2020,BROKENHEAD,AAC ELIE(BW931),14,3526,68.9,TRUE
2020,BROKENHEAD,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,25,6821,77.2,TRUE
2020,BROKENHEAD,CARDALE (BW429),6,792,64.6,TRUE
2020,BROKENHEAD,CDC STANLEY (BW880),4,1287,46.6,TRUE
2020,CARTIER,AAC BRANDON (BW 932),49,22335,67.8,TRUE
2020,CARTIER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,875,64,TRUE
2020,CARTWRIGHT-ROBLIN,AAC BRANDON (BW 932),41,14566,61.9,TRUE
2020,CARTWRIGHT-ROBLIN,AAC ELIE(BW931),7,1593,56,TRUE
2020,CARTWRIGHT-ROBLIN,AAC REDBERRY,9,2716,59.6,TRUE
2020,CARTWRIGHT-ROBLIN,CDC PLENTIFUL (PT580),6,1542,53.8,TRUE
2020,CLANWILLIAM-ERICKSON,AAC REDBERRY,8,2360,45.8,TRUE
2020,CLANWILLIAM-ERICKSON,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,1656,47.5,TRUE
2020,CORNWALLIS,AAC BRANDON (BW 932),27,10116,49.4,TRUE
2020,DAUPHIN,AAC BRANDON (BW 932),64,32850.5,65.7,TRUE
2020,DAUPHIN,AAC CAMERON VB <CANTERRA>,5,1562,62.8,TRUE
2020,DAUPHIN,AAC REDBERRY,5,1094,72.8,TRUE
2020,DAUPHIN,AAC TISDALE (PT250),12,2458,52.6,TRUE
2020,DAUPHIN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,16,5681,69.3,TRUE
2020,DAUPHIN,CARDALE (BW429),11,3893,68.9,TRUE
2020,DAUPHIN,GLENN,3,731,60.9,TRUE
2020,DELORAINE-WINCHESTER,AAC BRANDON (BW 932),40,18106,61.8,TRUE
2020,DELORAINE-WINCHESTER,AAC ELIE(BW931),5,2930,73.6,TRUE
2020,DELORAINE-WINCHESTER,AAC REDBERRY,9,4381,74.4,TRUE
2020,DELORAINE-WINCHESTER,BOLLES <SEED DEPOT>,3,503,63.8,TRUE
2020,DELORAINE-WINCHESTER,CARBERRY (BW874),3,1206,47.6,TRUE
2020,DESALABERRY,AAC BRANDON (BW 932),52,16404,68.3,TRUE
2020,DESALABERRY,AAC ELIE(BW931),3,1020,64.2,TRUE
2020,DESALABERRY,AAC TISDALE (PT250),7,1618,70,TRUE
2020,DESALABERRY,CARDALE (BW429),5,3379,68.9,TRUE
2020,DUFFERIN,AAC BRANDON (BW 932),73,19379,69.8,TRUE
2020,DUFFERIN,AAC ELIE(BW931),4,1105,72.9,TRUE
2020,DUFFERIN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1257,51.6,TRUE
2020,DUFFERIN,BOLLES <SEED DEPOT>,10,1441,74.9,TRUE
2020,DUFFERIN,CARDALE (BW429),4,772,75.3,TRUE
2020,ELLICE-ARCHIE,AAC ALIDA (BW980),3,822,55.3,TRUE
2020,ELLICE-ARCHIE,AAC BRANDON (BW 932),21,7868,59.2,TRUE
2020,ELLICE-ARCHIE,AAC ELIE(BW931),6,2854,54.3,TRUE
2020,ELLICE-ARCHIE,AAC REDBERRY,5,883,65.7,TRUE
2020,ELLICE-ARCHIE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,4606,63.2,TRUE
2020,ELLICE-ARCHIE,AAC WHEATLAND <SECAN>,3,1219,74.8,TRUE
2020,ELLICE-ARCHIE,BOLLES <SEED DEPOT>,6,1323,60.3,TRUE
2020,ELLICE-ARCHIE,CDC LANDMARK,6,1691,65.2,TRUE
2020,ELLICE-ARCHIE,CDC PLENTIFUL (PT580),4,713,65,TRUE
2020,ELTON,AAC BRANDON (BW 932),65,34229,65.3,TRUE
2020,ELTON,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,10,2119,62.2,TRUE
2020,EMERSON-FRANKLIN,AAC BRANDON (BW 932),49,26321,57.8,TRUE
2020,EMERSON-FRANKLIN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1105,69.5,TRUE
2020,ETHELBERT,AAC BRANDON (BW 932),7,3494,53,TRUE
2020,FISHER,AAC BRANDON (BW 932),37,9562,57.9,TRUE
2020,FISHER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,7,2684,75.1,TRUE
2020,FISHER,CARDALE (BW429),3,1242,45.9,TRUE
2020,FISHER,CDC STANLEY (BW880),5,1925,45.2,TRUE
2020,GILBERT PLAINS,AAC BRANDON (BW 932),29,12886,64,TRUE
2020,GILBERT PLAINS,AAC CAMERON VB <CANTERRA>,6,2651,56.8,TRUE
2020,GILBERT PLAINS,AAC ELIE(BW931),3,1256,71.2,TRUE
2020,GILBERT PLAINS,AAC REDBERRY,30,16744,68.4,TRUE
2020,GILBERT PLAINS,AAC TISDALE (PT250),6,592,70,TRUE
2020,GILBERT PLAINS,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,13,4386,73.9,TRUE
2020,GILBERT PLAINS,AC DOMAIN (BW 148),9,2290,50,TRUE
2020,GILBERT PLAINS,CARDALE (BW429),4,3104,65.3,TRUE
2020,GILBERT PLAINS,CDC STANLEY (BW880),5,2730,63.8,TRUE
2020,GIMLI,AAC BRANDON (BW 932),11,3119,70,TRUE
2020,GIMLI,CARDALE (BW429),3,1095,62.4,TRUE
2020,GLENBORO-SOUTH CYPRESS,AAC BRANDON (BW 932),34,9422,59.3,TRUE
2020,GLENELLA-LANSDOWNE,AAC BRANDON (BW 932),43,28011,63.4,TRUE
2020,GLENELLA-LANSDOWNE,AAC ELIE(BW931),6,2649,59.6,TRUE
2020,GLENELLA-LANSDOWNE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,8,2109,65.5,TRUE
2020,GRAHAMDALE,AAC BRANDON (BW 932),7,3955,47.6,TRUE
2020,GRAHAMDALE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,1173,41.7,TRUE
2020,GRANDVIEW,AAC BRANDON (BW 932),40,15079,68.6,TRUE
2020,GRANDVIEW,AAC CAMERON VB <CANTERRA>,4,1475,69.9,TRUE
2020,GRANDVIEW,AAC ELIE(BW931),4,1415,65.8,TRUE
2020,GRANDVIEW,AAC REDBERRY,12,7574,70.9,TRUE
2020,GRANDVIEW,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,23,9185,73.1,TRUE
2020,GRANDVIEW,BOLLES <SEED DEPOT>,7,1265,70.9,TRUE
2020,GRANDVIEW,CARDALE (BW429),5,1030,68.4,TRUE
2020,GRANDVIEW,CDC HUGHES <CPSC> |PT588|,4,580,66.3,TRUE
2020,GRANDVIEW,CDC PLENTIFUL (PT580),10,3751,62.7,TRUE
2020,GRASSLAND,AAC BRANDON (BW 932),82,36916,61.5,TRUE
2020,GRASSLAND,AAC ELIE(BW931),10,4698,61.2,TRUE
2020,GRASSLAND,AAC REDBERRY,5,1657,54.6,TRUE
2020,GRASSLAND,AAC STARBUCK <SECAN>,3,1504,54.9,TRUE
2020,GRASSLAND,AAC TISDALE (PT250),3,1230,52.7,TRUE
2020,GRASSLAND,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,7,4078,48.5,TRUE
2020,GRASSLAND,CARDALE (BW429),3,1622,46.5,TRUE
2020,GREY,AAC BRANDON (BW 932),57,19876,71.7,TRUE
2020,GREY,AAC TISDALE (PT250),4,583,64,TRUE
2020,GREY,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,6,4160,66.5,TRUE
2020,GREY,CARDALE (BW429),6,1138,65.3,TRUE
2020,HAMIOTA,AAC BRANDON (BW 932),28,11397,63.3,TRUE
2020,HAMIOTA,AAC ELIE(BW931),3,987,61,TRUE
2020,HAMIOTA,AAC REDBERRY,9,1608,55.2,TRUE
2020,HAMIOTA,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,35,12699,53.1,TRUE
2020,HAMIOTA,CDC LANDMARK,4,2530,76.2,TRUE
2020,HANOVER,AAC BRANDON (BW 932),34,9060,69.5,TRUE
2020,HANOVER,AAC ELIE(BW931),3,522,65.2,TRUE
2020,HARRISON PARK,AAC BRANDON (BW 932),20,6381,57.5,TRUE
2020,HARRISON PARK,AAC ELIE(BW931),3,550,45.6,TRUE
2020,HARRISON PARK,AAC REDBERRY,26,8721,56.7,TRUE
2020,HARRISON PARK,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,16,4040,56.6,TRUE
2020,HARRISON PARK,AC DOMAIN (BW 148),3,607,29.1,TRUE
2020,HEADINGLEY,AAC BRANDON (BW 932),8,2971,72,TRUE
2020,HILLSBURG-ROBLIN-SHELL RIVER,AAC BRANDON (BW 932),20,9436,72.6,TRUE
2020,HILLSBURG-ROBLIN-SHELL RIVER,AAC REDBERRY,5,1501,60.9,TRUE
2020,HILLSBURG-ROBLIN-SHELL RIVER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,22,9653,73,TRUE
2020,HILLSBURG-ROBLIN-SHELL RIVER,BOLLES <SEED DEPOT>,5,2214,67.3,TRUE
2020,HILLSBURG-ROBLIN-SHELL RIVER,CDC PLENTIFUL (PT580),3,3134,68.4,TRUE
2020,KELSEY,AAC REDBERRY,6,3205,45.7,TRUE
2020,KELSEY,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,3307,46.2,TRUE
2020,KELSEY,CARDALE (BW429),3,1697,28.2,TRUE
2020,KELSEY,CDC LANDMARK,7,5222,33.2,TRUE
2020,KELSEY,CDC PLENTIFUL (PT580),3,910,33.4,TRUE
2020,KILLARNEY-TURTLE MTN,AAC BRANDON (BW 932),55,31668,66.4,TRUE
2020,KILLARNEY-TURTLE MTN,AAC CAMERON VB <CANTERRA>,8,3125,67.7,TRUE
2020,KILLARNEY-TURTLE MTN,AAC ELIE(BW931),3,995,66.1,TRUE
2020,KILLARNEY-TURTLE MTN,AAC REDBERRY,7,3737,66.5,TRUE
2020,KILLARNEY-TURTLE MTN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1337,55.4,TRUE
2020,KILLARNEY-TURTLE MTN,CDC PLENTIFUL (PT580),9,3138,60.3,TRUE
2020,LA BROQUERIE,AAC BRANDON (BW 932),6,1211,45.6,TRUE
2020,LAC DU BONNET,AAC BRANDON (BW 932),12,5280,61.6,TRUE
2020,LAC DU BONNET,AAC ELIE(BW931),4,1710,83.8,TRUE
2020,LAC DU BONNET,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,5,558,78.7,TRUE
2020,LAC DU BONNET,GLENN,4,1033,82.4,TRUE
2020,LAKESHORE,AAC BRANDON (BW 932),28,11365,63.7,TRUE
2020,LAKESHORE,AAC TISDALE (PT250),4,1311,52,TRUE
2020,LAKESHORE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1618,65.8,TRUE
2020,LAKESHORE,CARDALE (BW429),3,2155,49.9,TRUE
2020,LORNE,AAC BRANDON (BW 932),112,37936,71.6,TRUE
2020,LORNE,AAC ELIE(BW931),6,1739,66.5,TRUE
2020,LORNE,AAC REDBERRY,3,1013,64.2,TRUE
2020,LORNE,AAC STARBUCK <SECAN>,3,532,75.7,TRUE
2020,LORNE,AAC TISDALE (PT250),10,1831,61.8,TRUE
2020,LORNE,CARDALE (BW429),8,2524,60.4,TRUE
2020,LORNE,HARVEST (BW259),3,1045,64.4,TRUE
2020,LOUISE,AAC BRANDON (BW 932),101,43376,73,TRUE
2020,LOUISE,AAC ELIE(BW931),4,1293,65.2,TRUE
2020,LOUISE,AAC REDBERRY,14,2965,65.3,TRUE
2020,MACDONALD,AAC BRANDON (BW 932),115,55103.6,71.6,TRUE
2020,MACDONALD,AAC ELIE(BW931),5,847,74.8,TRUE
2020,MACDONALD,AAC STARBUCK <SECAN>,5,1262,80.1,TRUE
2020,MACDONALD,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,16,4563,77.6,TRUE
2020,MACDONALD,CS DAYBREAK <CANTERRA>,4,863,75,TRUE
2020,MCCREARY,AAC BRANDON (BW 932),23,12056,57.2,TRUE
2020,MCCREARY,AAC TISDALE (PT250),6,955,48.5,TRUE
2020,MINITONAS-BOWSMAN,AAC BRANDON (BW 932),19,9606,72.6,TRUE
2020,MINITONAS-BOWSMAN,AAC CONNERY |PT245|,3,1185,68.9,TRUE
2020,MINITONAS-BOWSMAN,AAC REDBERRY,10,1597,59.5,TRUE
2020,MINITONAS-BOWSMAN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,64,28807,76.6,TRUE
2020,MINITONAS-BOWSMAN,CARDALE (BW429),12,4776,68,TRUE
2020,MINTO-ODANAH,AAC BRANDON (BW 932),41,20136,60.5,TRUE
2020,MINTO-ODANAH,AAC ELIE(BW931),4,1013,60.4,TRUE
2020,MINTO-ODANAH,AAC REDBERRY,9,3297,54.8,TRUE
2020,MINTO-ODANAH,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,10,5470,59.8,TRUE
2020,MINTO-ODANAH,BOLLES <SEED DEPOT>,3,1388,54.8,TRUE
2020,MONTCALM,AAC BRANDON (BW 932),60,18390,68.1,TRUE
2020,MONTCALM,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,4,1250,71.2,TRUE
2020,MORRIS,AAC BRANDON (BW 932),110,39754.1,66.8,TRUE
2020,MORRIS,AAC ELIE(BW931),4,1029,68.6,TRUE
2020,MORRIS,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,12,4668,74.4,TRUE
2020,MORRIS,CARDALE (BW429),10,2301,55,TRUE
2020,MORRIS,CS DAYBREAK <CANTERRA>,3,726,74.6,TRUE
2020,MOSSEY RIVER,AAC BRANDON (BW 932),9,3948,58.3,TRUE
2020,MOSSEY RIVER,AAC TISDALE (PT250),4,924,60,TRUE
2020,MOSSEY RIVER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,964,67.7,TRUE
2020,MOSSEY RIVER,CARDALE (BW429),5,1204,65.9,TRUE
2020,MOUNTAIN,AAC BRANDON (BW 932),8,2144,66.6,TRUE
2020,MOUNTAIN,AAC ELIE(BW931),3,998,65.9,TRUE
2020,MOUNTAIN,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,18,6113,71.6,TRUE
2020,MOUNTAIN,CARDALE (BW429),5,2927,61.7,TRUE
2020,MOUNTAIN,CDC GO (BW781),3,2074,77.5,TRUE
2020,MOUNTAIN,CDC IMAGINE (BW758)(IMI),4,2171,62.9,TRUE
2020,MOUNTAIN,CDC STANLEY (BW880),3,1028,64.7,TRUE
2020,NORFOLK-TREHERNE,AAC BRANDON (BW 932),46,20475,62.9,TRUE
2020,NORFOLK-TREHERNE,AAC TISDALE (PT250),9,1357,66.6,TRUE
2020,NORFOLK-TREHERNE,CARDALE (BW429),3,943,62.8,TRUE
2020,NORTH CYPRESS-LANGFORD,AAC BRANDON (BW 932),74,47996.3,61.2,TRUE
2020,NORTH CYPRESS-LANGFORD,AAC ELIE(BW931),9,5111,58.8,TRUE
2020,NORTH CYPRESS-LANGFORD,AAC REDBERRY,3,580,58.5,TRUE
2020,NORTH CYPRESS-LANGFORD,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,5,1657,63.9,TRUE
2020,NORTH NORFOLK,AAC BRANDON (BW 932),55,21789,59.6,TRUE
2020,NORTH NORFOLK,AAC ELIE(BW931),5,1649,56.5,TRUE
2020,NORTH NORFOLK,BOLLES <SEED DEPOT>,6,1644,67.2,TRUE
2020,NORTH NORFOLK,CARDALE (BW429),15,4803,57.5,TRUE
2020,OAKLAND-WAWANESA,AAC BRANDON (BW 932),40,16525,63.8,TRUE
2020,OAKLAND-WAWANESA,AAC ELIE(BW931),3,2469,70.7,TRUE
2020,OAKLAND-WAWANESA,CARDALE (BW429),6,2136,55.9,TRUE
2020,OAKVIEW,AAC ALIDA (BW980),4,1248,53.4,TRUE
2020,OAKVIEW,AAC BRANDON (BW 932),59,24693,57.9,TRUE
2020,OAKVIEW,AAC ELIE(BW931),5,1503,60.1,TRUE
2020,OAKVIEW,AAC REDBERRY,19,4582,54.8,TRUE
2020,OAKVIEW,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,38,14749,56.2,TRUE
2020,OAKVIEW,BOLLES <SEED DEPOT>,3,503,59.1,TRUE
2020,OAKVIEW,CDC LANDMARK,7,2006,45.6,TRUE
2020,PEMBINA,AAC BRANDON (BW 932),114,37560,69.8,TRUE
2020,PEMBINA,AAC TISDALE (PT250),13,1752,59,TRUE
2020,PEMBINA,CDC HUGHES <CPSC> |PT588|,8,1341,55.6,TRUE
2020,PEMBINA,SY TORACH <SYNGENTA>,7,1476,78.3,TRUE
2020,PINEY,AAC BRANDON (BW 932),3,2676,43.2,TRUE
2020,PIPESTONE,AAC BRANDON (BW 932),54,32104,53.9,TRUE
2020,PIPESTONE,AAC ELIE(BW931),10,5246,55.9,TRUE
2020,PIPESTONE,AAC REDBERRY,3,896,51.3,TRUE
2020,PIPESTONE,AAC TISDALE (PT250),5,1610,48.7,TRUE
2020,PIPESTONE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,13,4818,56.6,TRUE
2020,PIPESTONE,CDC HUGHES <CPSC> |PT588|,6,1540,51.6,TRUE
2020,PIPESTONE,SY TORACH <SYNGENTA>,4,1360,54.6,TRUE
2020,PORTAGE LA PRAIRIE,AAC BRANDON (BW 932),122,74604,68.8,TRUE
2020,PORTAGE LA PRAIRIE,AAC STARBUCK <SECAN>,5,930,73.2,TRUE
2020,PORTAGE LA PRAIRIE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,11,3160,61.5,TRUE
2020,PORTAGE LA PRAIRIE,BOLLES <SEED DEPOT>,4,1225,71,TRUE
2020,PORTAGE LA PRAIRIE,CARBERRY (BW874),3,902,54.9,TRUE
2020,PORTAGE LA PRAIRIE,CARDALE (BW429),11,1922,57.4,TRUE
2020,PRAIRIE LAKES,AAC BRANDON (BW 932),69,36273,61.9,TRUE
2020,PRAIRIE LAKES,AAC CAMERON VB <CANTERRA>,10,2094,54.9,TRUE
2020,PRAIRIE LAKES,AAC ELIE(BW931),3,1318,74.8,TRUE
2020,PRAIRIE LAKES,AAC REDBERRY,4,1092,65,TRUE
2020,PRAIRIE LAKES,CARDALE (BW429),5,2084,48.7,TRUE
2020,PRAIRIE VIEW,AAC ALIDA (BW980),5,2505,64,TRUE
