Year,Municipality,Variety,Farms,Acres,Yield_bu_ac,Reported
2020,ALEXANDER,AAC BRANDON (BW 932),5,1411.0,50.3,TRUE
2020,ALEXANDER,AAC ELIE(BW931),,,,FALSE
2020,ALEXANDER,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,3,1448.0,73.1,TRUE
2020,ALEXANDER,CARBERRY (BW874),,,,FALSE
2020,ALEXANDER,CARDALE (BW429),,,,FALSE
2020,ALEXANDER,CDC STANLEY (BW880),,,,FALSE
2020,ALEXANDER,CDC TITANIUM <PROVEN>,,,,FALSE
2020,ALEXANDER,GLENN,,,,FALSE
2020,ALONSA,AAC BRANDON (BW 932),11,5732.0,65.1,TRUE
2020,ALONSA,AAC ELIE(BW931),,,,FALSE
2020,ALONSA,AAC REDBERRY,,,,FALSE
2020,ALONSA,AAC TISDALE (PT250),,,,FALSE
2020,ALONSA,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,,,,FALSE
2020,ALONSA,BOLLES <SEED DEPOT>,,,,FALSE
2020,ALONSA,GLENN,,,,FALSE
2020,ARGYLE,5605HR CL (BW918),,,,FALSE
2020,ARGYLE,AAC BRANDON (BW 932),67,28908.0,59.4,TRUE
2020,ARGYLE,AAC CAMERON VB <CANTERRA>,,,,FALSE
2020,ARGYLE,AAC ELIE(BW931),,,,FALSE
2020,ARGYLE,AAC REDBERRY,7,1590.0,47.8,TRUE
2020,ARGYLE,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,,,,FALSE
2020,ARGYLE,AC BARRIE (BW 661),,,,FALSE
2020,ARGYLE,CARDALE (BW429),3,537.0,30.0,TRUE
2020,ARGYLE,CDC HUGHES <CPSC> |PT588|,,,,FALSE
2020,ARGYLE,CDC ORTONA <PROVEN>,,,,FALSE
2020,ARGYLE,GLENN,,,,FALSE
2020,ARMSTRONG,AAC BRANDON (BW 932),9,1790.0,58.6,TRUE
2020,ARMSTRONG,AAC ELIE(BW931),,,,FALSE
2020,ARMSTRONG,CDC TITANIUM <PROVEN>,,,,FALSE
2020,BIFROST-RIVERTON,AAC BRANDON (BW 932),71,26811.0,68.5,TRUE
2020,BIFROST-RIVERTON,AAC CAMERON VB <CANTERRA>,,,,FALSE
2020,BIFROST-RIVERTON,AAC STARBUCK <SECAN>,,,,FALSE
2020,BIFROST-RIVERTON,AAC VIEWFIELD <FP GENETICS>|BW965| EXP,12,5035.0,79.1,TRUE
2020,BIFROST-RIVERTON,AC BARRIE (BW 661),,,,FALSE
2020,BIFROST-RIVERTON,CARDALE (BW429),,,,FALSE
2020,BIFROST-RIVERTON,CDC STANLEY (BW880),,,,FALSE
2020,BIFROST-RIVERTON,CS DAYBREAK <CANTERRA>,3,782.0,72.3,TRUE
2020,BIFROST-RIVERTON,PT599 <SECAN>,,,,FALSE
