ticket_id,delivery_date,crop,bushels,elevator
00701,2025-10-17,Canola,753 bu,Biggar
00702,2025-08-05,Oats,"1,454 bu",Kindersley
00703,2025-10-27,Peas,"1,139 bu",Kindersley
00704,2025-09-01,Barley,"1,186 bu",Biggar
00705,2025-10-20,Oats,837 bu,Outlook
00706,2025-08-18,Barley,"1,616 bu",Rosetown
00707,2025-09-10,Canola,"1,418 bu",Rosetown
00708,2025-10-28,Canola,"1,197 bu",Biggar
00709,2025-09-22,Peas,925 bu,Davidson
00710,2025-10-19,Spring Wheat,"1,543 bu",Outlook
00711,2025-10-06,Peas,"1,584 bu",Outlook
00712,2025-09-18,Spring Wheat,"1,159 bu",Kindersley
00713,2025-09-16,Peas,"1,221 bu",Outlook
00714,2025-10-13,Canola,"1,135 bu",Biggar
00715,2025-10-02,Spring Wheat,"1,003 bu",Biggar
00716,2025-10-22,Oats,"1,149 bu",Kindersley
00717,2025-09-23,Peas,"1,715 bu",Outlook
00718,2025-09-18,Oats,"1,291 bu",Rosetown
00719,2025-10-13,Peas,"1,498 bu",Kindersley
00720,2025-09-28,Peas,868 bu,Rosetown
