field,crop,yield_bu_ac
Home,Peas,43.5
Home,Oats,79.1
Home,Barley,84.6
Kestrel,Oats,95.2
Kestrel,Barley,84.7
Kestrel,Canola,31.1
Meadowvale,Spring Wheat,44.2
Meadowvale,Canola,43.5
Meadowvale,Oats,98.1
Nightjar,Canola,47.5
Nightjar,Peas,46.8
Nightjar,Barley,91.7
Rented,Oats,95.0
Rented,Canola,36.3
Rented,Barley,69.8
Coulee,Canola,52.8
Coulee,Peas,41.9
Coulee,Barley,82.3
Ridge,Spring Wheat,52.5
Ridge,Peas,58.9
Ridge,Oats,120.3
Slough,Peas,32.0
Slough,Barley,62.4
Slough,Spring Wheat,71.9
Northeast,Spring Wheat,39.4
Northeast,Barley,67.8
Northeast,Canola,38.2
Southwest,Barley,83.0
Southwest,Spring Wheat,57.5
Southwest,Oats,120.7
