field,measure,value
Home,yield_bu_ac,50.2
Home,acres,320
Home,moisture_pct,14.7
Kestrel,yield_bu_ac,59.1
Kestrel,acres,240
Kestrel,moisture_pct,11.5
Meadowvale,yield_bu_ac,65.5
Meadowvale,acres,320
Meadowvale,moisture_pct,11.6
Nightjar,yield_bu_ac,43.1
Nightjar,acres,320
Nightjar,moisture_pct,13.1
Rented,yield_bu_ac,68.3
Rented,acres,160
Rented,moisture_pct,14.7
Coulee,yield_bu_ac,65.7
Coulee,acres,120
Coulee,moisture_pct,14.2
Ridge,yield_bu_ac,71.6
Ridge,acres,120
Ridge,moisture_pct,14.8
Slough,yield_bu_ac,53.7
Slough,acres,120
Slough,moisture_pct,12.1
