farm,field,year,Canola,Spring Wheat,Barley,Peas
Slade,Home,2024,49.9,42.5,61.1,52.8
Slade,Home,2025,31.9,45.1,84.3,39.1
Slade,Kestrel,2024,30.9,60.7,64.6,39.9
Slade,Kestrel,2025,37.7,71.0,71.0,33.2
Slade,Meadowvale,2024,32.5,39.5,59.1,54.9
Slade,Meadowvale,2025,40.5,42.4,61.2,61.3
Slade,Nightjar,2024,31.6,,60.3,53.7
Slade,Nightjar,2025,30.5,41.2,,35.3
Slade,Rented,2024,47.1,39.8,72.5,44.7
Slade,Rented,2025,35.8,58.6,84.1,50.2
Braun,Home,2024,44.9,64.0,89.1,43.6
Braun,Home,2025,49.2,67.1,75.4,
Braun,Kestrel,2024,35.2,56.7,90.7,36.9
Braun,Kestrel,2025,29.7,68.1,86.6,56.0
Braun,Meadowvale,2024,52.4,69.3,55.8,47.4
Braun,Meadowvale,2025,45.2,52.1,70.0,55.2
Braun,Nightjar,2024,29.0,44.0,76.4,33.0
Braun,Nightjar,2025,46.5,56.9,70.3,
Braun,Rented,2024,37.4,45.1,69.1,
Braun,Rented,2025,46.3,59.0,63.6,53.9
