Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Viewfield,240,42.5,277.6,99.2,13.9
F002,CDC Landmark,240,56.1,366.5,128.0,13.6
F003,AAC Brandon,80,57.3,124.8,88.7,12.1
F004,CDC Landmark,160,57.0,248.2,119.6,15.1
F005,AAC Viewfield,80,52.8,115.0,0.127,15.2
F006,AAC Brandon,320,59.6,519.1,128.7,14.7
F007,CDC Landmark,160,56.6,246.5,109.9,11.6
F008,CDC Landmark,120,55.2,180.3,0.106,12.7
F009,CDC Landmark,120,71.7,234.2,116.5,12.4
F010,AAC Brandon,120,53.2,173.8,116.6,12.6
F011,CDC Landmark,320,38.5,335.4,88.0,14.9
F012,CDC Landmark,160,44.8,195.1,129.0,14.5
F013,AAC Brandon,160,63.0,274.4,115.0,13.8
F014,CDC Landmark,160,39.0,169.9,0.092,13.8
F015,AAC Brandon,320,63.3,551.4,0.127,15.0
F016,AAC Brandon,320,64.4,560.9,0.114,14.9
F017,AAC Brandon,160,67.8,295.3,129.6,14.4
F018,CDC Landmark,240,43.8,286.1,120.8,12.5
F019,AAC Viewfield,120,71.2,232.6,95.0,12.2
F020,AAC Viewfield,120,60.8,198.6,95.9,13.7
