field_id,acres,yield_bu_ac,status
F001,160,0,not reported
F002,160,30.1,harvested
F003,160,0,not reported
F004,120,37.0,harvested
F005,120,0,not reported
F006,240,49.0,harvested
F007,160,43.2,harvested
F008,320,33.9,harvested
F009,80,52.6,harvested
F010,160,47.7,harvested
F011,240,48.4,harvested
F012,160,46.4,harvested
F013,80,39.0,harvested
F014,80,53.3,harvested
F015,80,52.1,harvested
F016,160,0,hailed out
F017,160,54.7,harvested
F018,160,44.5,harvested
F019,240,42.0,harvested
F020,160,29.3,harvested
