field_id,crop,acres,yield_bu_ac
Home,Oats,320,108.1
Kestrel,Spring Wheat,240,51.9
Meadowvale,Oats,120,91.6
Nightjar,Oats,320,86.9
Rented,Barley,320,89.3
Coulee,Peas,160,38.3
Ridge,Spring Wheat,120,67.0
Slough,Peas,320,35.8
Northeast,Spring Wheat,160,41.4
Southwest,Oats,240,98.5
Bluff,Canola,160,33.1
Creek,Oats,320,101.4
Ravine,Canola,120,44.5
Hilltop,Peas,240,32.4
Bottom,Barley,120,71.0
Corner,Oats,240,97.0
Railway,Peas,80,50.6
School,Oats,320,119.0
Church,Spring Wheat,160,57.1
Quarter,Canola,120,40.8
