field,year,yield_bu_ac
Home,2023,39.2
Home,2024,33.4
Home,2025,54.4
Kestrel,2023,47.2
Kestrel,2024,34.5
Kestrel,2025,35.2
Meadowvale,2023,50.4
Meadowvale,2024,53.0
Meadowvale,2025,43.4
Nightjar,2023,33.6
Nightjar,2024,32.6
Nightjar,2025,39.7
Rented,2023,32.9
Rented,2024,41.0
Rented,2025,42.6
Coulee,2023,46.4
Coulee,2024,51.5
Coulee,2025,29.5
Ridge,2023,46.8
Ridge,2024,54.0
Ridge,2025,51.7
Slough,2023,52.2
Slough,2024,54.5
Slough,2025,34.6
Northeast,2023,45.1
Northeast,2024,53.0
Northeast,2025,44.0
Southwest,2023,38.0
Southwest,2024,36.4
Southwest,2025,52.4
