field,crop,acres,yield_bu_ac
Home,Barley,120,91.0
Kestrel,Barley,160,91.1
Meadowvale,Spring Wheat,80,47.6
Nightjar,Barley,320,53.9
Rented,Peas,160,52.7
Coulee,Oats,80,77.7
Ridge,Oats,160,70.1
Slough,Peas,240,52.2
Northeast,Canola,320,50.2
Southwest,Canola,120,39.0
Bluff,Peas,160,60.7
Creek,Spring Wheat,120,55.1
Ravine,Canola,160,30.8
Hilltop,Peas,80,59.1
Bottom,Spring Wheat,320,54.5
Corner,Peas,160,52.0
Railway,Barley,80,72.9
School,Canola,160,35.5
Church,Canola,160,43.0
Quarter,Spring Wheat,120,44.5
