ticket_id,field,weight_tonnes
05701,Home,39.0
05702,Slough,42.6
05703,Coulee,22.1
05704,Nightjar,26.3
05705,Northeast,29.9
05706,Meadowvale,26.9
05707,Railway,21.4
05708,Rented,36.7
05709,Corner,26.5
05710,Meadow Vale,24.6
05711,Corner,39.6
05712,Meadowvale,27.0
05713,Kestral,18.1
05714,Meadowvale,18.0
05715,Quarter,18.8
05716,Coulee,36.8
05717,Home,39.7
05718,Northeast,33.5
05719,Coulee,22.4
05720,home,37.7
05721,School,23.6
05722,Nightjar,35.4
05723,Quarter,35.8
05724,Railway,21.6
05725,Church,26.5
05726,Southwest,21.1
05727,Quarter,28.2
05728,Creek,30.8
05729,School,23.4
05730,Slough,24.3
