field,crop,acres,yield
Home,Lentils,240,1356.1
Kestrel,Spring Wheat,120,40.9
Meadowvale,Barley,160,82.3
Nightjar,Canola,320,36.6
Rented,Oats,160,94.7
Coulee,Oats,160,97.4
Ridge,Spring Wheat,240,51.6
Slough,Canola,320,53.7
Northeast,Lentils,160,2295.2
Southwest,Oats,160,70.7
Bluff,Oats,160,107.0
Creek,Lentils,320,2223.4
Ravine,Barley,120,61.1
Hilltop,Oats,120,78.5
Bottom,Canola,80,46.4
Corner,Spring Wheat,80,69.3
Railway,Spring Wheat,160,55.5
School,Barley,320,68.9
Church,Canola,160,39.0
Quarter,Canola,320,45.0
