field,variety,acres,yield_bu_ac,elevator
Home,AAC Viewfield,240,38.7,Kindersley
Kestrel,CDC Landmark,120,57.9,Kindersley
Meadowvale,AAC Viewfield,240,61.8,Outlook
Nightjar,SY Manness,120,65.5,Davidson
Rented,AAC Brandon,160,70.3,Kindersley
Coulee,SY Manness,320,66.8,Kindersley
Ridge,CDC Landmark,320,40.2,Rosetown
Slough,AAC Brandon,160,40.2,Outlook
Northeast,AAC Viewfield,80,62.0,Davidson
Southwest,AAC Brandon,120,43.4,Davidson
Bluff,AAC Viewfield,160,51.6,Rosetown
Creek,AAC Viewfield,160,46.5,Rosetown
Ravine,AAC Brandon,120,58.2,Rosetown
Hilltop,SY Manness,80,42.6,Outlook
Bottom,SY Manness,80,56.7,Kindersley
Corner,CDC Landmark,160,56.7,Rosetown
Railway,CDC Landmark,120,53.1,Rosetown
School,AAC Brandon,120,40.4,Kindersley
Church,AAC Viewfield,160,60.5,Davidson
Quarter,SY Manness,320,45.8,Kindersley
