Year,RM,Crop,Yield,Unit
1990,1,Canola,22,bu/ac
1991,1,Canola,24.1,bu/ac
1992,1,Canola,15,bu/ac
1993,1,Canola,25.3,bu/ac
1994,1,Canola,23.1,bu/ac
1995,1,Canola,15.9,bu/ac
1996,1,Canola,19.3,bu/ac
1997,1,Canola,18.1,bu/ac
1998,1,Canola,26.5,bu/ac
1999,1,Canola,25,bu/ac
2000,1,Canola,25.3,bu/ac
2001,1,Canola,22.1,bu/ac
2002,1,Canola,18.2,bu/ac
2003,1,Canola,15.9,bu/ac
2004,1,Canola,23.3,bu/ac
2005,1,Canola,27.3,bu/ac
2006,1,Canola,23.3,bu/ac
2007,1,Canola,22.5,bu/ac
2008,1,Canola,23.2,bu/ac
2009,1,Canola,34.2,bu/ac
2010,1,Canola,27.6,bu/ac
2011,1,Canola,17.2,bu/ac
2012,1,Canola,22.3,bu/ac
2013,1,Canola,32.1,bu/ac
2014,1,Canola,26.21,bu/ac
2015,1,Canola,28.65,bu/ac
2016,1,Canola,32.1,bu/ac
2017,1,Canola,39.19,bu/ac
2018,1,Canola,39.2,bu/ac
2019,1,Canola,32.4,bu/ac
2020,1,Canola,39.9,bu/ac
2021,1,Canola,33.2,bu/ac
2022,1,Canola,37.4,bu/ac
2023,1,Canola,36.8,bu/ac
2024,1,Canola,36.4,bu/ac
2025,1,Canola,48.3,bu/ac
1990,2,Canola,20,bu/ac
1991,2,Canola,24.8,bu/ac
1992,2,Canola,31.8,bu/ac
1993,2,Canola,30,bu/ac
1994,2,Canola,21,bu/ac
1995,2,Canola,17.5,bu/ac
1996,2,Canola,21.8,bu/ac
1997,2,Canola,21.8,bu/ac
1998,2,Canola,25.5,bu/ac
1999,2,Canola,21.6,bu/ac
2000,2,Canola,27,bu/ac
2001,2,Canola,23.5,bu/ac
2002,2,Canola,23,bu/ac
2003,2,Canola,18.6,bu/ac
2004,2,Canola,27.9,bu/ac
2005,2,Canola,26.8,bu/ac
2006,2,Canola,22.4,bu/ac
2007,2,Canola,24.4,bu/ac
2008,2,Canola,27.5,bu/ac
2009,2,Canola,36.4,bu/ac
2010,2,Canola,30,bu/ac
2011,2,Canola,26.4,bu/ac
2012,2,Canola,28.6,bu/ac
2013,2,Canola,33.2,bu/ac
2014,2,Canola,28.73,bu/ac
2015,2,Canola,29.45,bu/ac
2016,2,Canola,31,bu/ac
2017,2,Canola,33.77,bu/ac
2018,2,Canola,33.8,bu/ac
2019,2,Canola,34.4,bu/ac
2020,2,Canola,41.3,bu/ac
2021,2,Canola,30.4,bu/ac
2022,2,Canola,39.1,bu/ac
2023,2,Canola,34.4,bu/ac
2024,2,Canola,36.2,bu/ac
2025,2,Canola,44.6,bu/ac
1990,3,Canola,19,bu/ac
1991,3,Canola,23.5,bu/ac
1992,3,Canola,28.8,bu/ac
1993,3,Canola,30,bu/ac
1994,3,Canola,20.4,bu/ac
1995,3,Canola,18.8,bu/ac
1996,3,Canola,24.1,bu/ac
1997,3,Canola,16.6,bu/ac
1998,3,Canola,20.5,bu/ac
1999,3,Canola,20.3,bu/ac
2000,3,Canola,21.6,bu/ac
2001,3,Canola,21.2,bu/ac
2002,3,Canola,19.5,bu/ac
2003,3,Canola,13.4,bu/ac
2004,3,Canola,27.5,bu/ac
