Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
1990,1,30.7,36.7,22,57.5,56.3,,,8
1991,1,18.5,21.9,24.1,50.8,47.6,,,
1992,1,28.7,28,15,58.5,60.4,,,
1993,1,29.2,30,25.3,59.8,85.8,25,1200,25.6
1994,1,28.4,31,23.1,57.5,63.4,30,890,20.1
1995,1,20.7,25.4,15.9,46,55.1,26.4,1200,19
1996,1,25.8,22.4,19.3,45.3,53.2,23.8,720,18
1997,1,22.4,24.3,18.1,47.7,52.8,33.6,,15.4
1998,1,25.4,29.3,26.5,49.9,46,25.9,,16.9
1999,1,23.5,25.7,25,31.4,26.2,30.3,,21.1
2000,1,34.7,31.7,25.3,44.9,57.6,36,,17
2001,1,25.6,25.7,22.1,54.7,65.6,33,,15.7
2002,1,25.4,23.6,18.2,38.6,39.9,25.5,,12.2
2003,1,24.9,,15.9,38.1,34.5,24.9,,9.3
2004,1,37.4,,23.3,56.3,68,38.4,,20.9
2005,1,26.5,,27.3,38,67,23.5,,13.4
2006,1,30.6,,23.3,48.9,56,31.9,,14.7
2007,1,30.3,,22.5,55.7,61,38,,18.6
2008,1,36.6,,23.2,54.9,60.9,31.9,,16.9
2009,1,41.8,,34.2,58.2,73.7,45.7,,26.1
2010,1,37.8,,27.6,60.9,69.2,24.8,678,15.5
2011,1,24.8,,17.2,9.6,41.5,10.7,,
2012,1,36.2,,22.3,53.8,54.7,29,,18
2013,1,47.4,,32.1,73.7,58.7,38.2,,30.2
2014,1,,,26.21,52.08,59.69,36.8,,18.23
2015,1,34.32,29.18,28.65,50.96,56.36,37.7,,16.07
2016,1,40.5,38.4,32.1,68.1,75.7,26.2,728,24.1
2017,1,45.97,,39.19,,85.82,43.4,,26.69
2018,1,50,,39.2,76,96,42,,25
2019,1,50.9,,32.4,83.5,102.1,43.8,,25
2020,1,56,,39.9,94,120.2,48.4,,31.9
2021,1,46.2,,33.2,63.7,84,37.7,,22.1
