Year,RM,Crop,Yield,Unit
1990,1,Spring Wheat,30.7,bu/ac
1990,1,Durum,36.7,bu/ac
1990,1,Canola,22,bu/ac
1990,1,Barley,57.5,bu/ac
1990,1,Oats,56.3,bu/ac
1990,1,Flax,8,bu/ac
1991,1,Spring Wheat,18.5,bu/ac
1991,1,Durum,21.9,bu/ac
1991,1,Canola,24.1,bu/ac
1991,1,Barley,50.8,bu/ac
1991,1,Oats,47.6,bu/ac
1992,1,Spring Wheat,28.7,bu/ac
1992,1,Durum,28,bu/ac
1992,1,Canola,15,bu/ac
1992,1,Barley,58.5,bu/ac
1992,1,Oats,60.4,bu/ac
1993,1,Spring Wheat,29.2,bu/ac
1993,1,Durum,30,bu/ac
1993,1,Canola,25.3,bu/ac
1993,1,Barley,59.8,bu/ac
1993,1,Oats,85.8,bu/ac
1993,1,Peas,25,bu/ac
1993,1,Lentils,1200,lb/ac
1993,1,Flax,25.6,bu/ac
1994,1,Spring Wheat,28.4,bu/ac
1994,1,Durum,31,bu/ac
1994,1,Canola,23.1,bu/ac
1994,1,Barley,57.5,bu/ac
1994,1,Oats,63.4,bu/ac
1994,1,Peas,30,bu/ac
1994,1,Lentils,890,lb/ac
1994,1,Flax,20.1,bu/ac
1995,1,Spring Wheat,20.7,bu/ac
1995,1,Durum,25.4,bu/ac
1995,1,Canola,15.9,bu/ac
1995,1,Barley,46,bu/ac
1995,1,Oats,55.1,bu/ac
1995,1,Peas,26.4,bu/ac
1995,1,Lentils,1200,lb/ac
1995,1,Flax,19,bu/ac
1996,1,Spring Wheat,25.8,bu/ac
1996,1,Durum,22.4,bu/ac
1996,1,Canola,19.3,bu/ac
1996,1,Barley,45.3,bu/ac
1996,1,Oats,53.2,bu/ac
1996,1,Peas,23.8,bu/ac
1996,1,Lentils,720,lb/ac
1996,1,Flax,18,bu/ac
1997,1,Spring Wheat,22.4,bu/ac
1997,1,Durum,24.3,bu/ac
1997,1,Canola,18.1,bu/ac
1997,1,Barley,47.7,bu/ac
1997,1,Oats,52.8,bu/ac
1997,1,Peas,33.6,bu/ac
1997,1,Flax,15.4,bu/ac
1998,1,Spring Wheat,25.4,bu/ac
1998,1,Durum,29.3,bu/ac
1998,1,Canola,26.5,bu/ac
1998,1,Barley,49.9,bu/ac
1998,1,Oats,46,bu/ac
1998,1,Peas,25.9,bu/ac
1998,1,Flax,16.9,bu/ac
1999,1,Spring Wheat,23.5,bu/ac
1999,1,Durum,25.7,bu/ac
1999,1,Canola,25,bu/ac
1999,1,Barley,31.4,bu/ac
1999,1,Oats,26.2,bu/ac
1999,1,Peas,30.3,bu/ac
1999,1,Flax,21.1,bu/ac
2000,1,Spring Wheat,34.7,bu/ac
2000,1,Durum,31.7,bu/ac
2000,1,Canola,25.3,bu/ac
2000,1,Barley,44.9,bu/ac
2000,1,Oats,57.6,bu/ac
2000,1,Peas,36,bu/ac
2000,1,Flax,17,bu/ac
2001,1,Spring Wheat,25.6,bu/ac
2001,1,Durum,25.7,bu/ac
2001,1,Canola,22.1,bu/ac
2001,1,Barley,54.7,bu/ac
2001,1,Oats,65.6,bu/ac
2001,1,Peas,33,bu/ac
2001,1,Flax,15.7,bu/ac
2002,1,Spring Wheat,25.4,bu/ac
2002,1,Durum,23.6,bu/ac
2002,1,Canola,18.2,bu/ac
2002,1,Barley,38.6,bu/ac
2002,1,Oats,39.9,bu/ac
2002,1,Peas,25.5,bu/ac
2002,1,Flax,12.2,bu/ac
2003,1,Spring Wheat,24.9,bu/ac
2003,1,Canola,15.9,bu/ac
2003,1,Barley,38.1,bu/ac
2003,1,Oats,34.5,bu/ac
2003,1,Peas,24.9,bu/ac
2003,1,Flax,9.3,bu/ac
2004,1,Spring Wheat,37.4,bu/ac
2004,1,Canola,23.3,bu/ac
2004,1,Barley,56.3,bu/ac
2004,1,Oats,68,bu/ac
2004,1,Peas,38.4,bu/ac
2004,1,Flax,20.9,bu/ac
2005,1,Spring Wheat,26.5,bu/ac
2005,1,Canola,27.3,bu/ac
2005,1,Barley,38,bu/ac
2005,1,Oats,67,bu/ac
2005,1,Peas,23.5,bu/ac
2005,1,Flax,13.4,bu/ac
2006,1,Spring Wheat,30.6,bu/ac
2006,1,Canola,23.3,bu/ac
2006,1,Barley,48.9,bu/ac
2006,1,Oats,56,bu/ac
2006,1,Peas,31.9,bu/ac
2006,1,Flax,14.7,bu/ac
2007,1,Spring Wheat,30.3,bu/ac
2007,1,Canola,22.5,bu/ac
2007,1,Barley,55.7,bu/ac
2007,1,Oats,61,bu/ac
2007,1,Peas,38,bu/ac
2007,1,Flax,18.6,bu/ac
2008,1,Spring Wheat,36.6,bu/ac
2008,1,Canola,23.2,bu/ac
2008,1,Barley,54.9,bu/ac
2008,1,Oats,60.9,bu/ac
2008,1,Peas,31.9,bu/ac
2008,1,Flax,16.9,bu/ac
2009,1,Spring Wheat,41.8,bu/ac
2009,1,Canola,34.2,bu/ac
2009,1,Barley,58.2,bu/ac
2009,1,Oats,73.7,bu/ac
2009,1,Peas,45.7,bu/ac
2009,1,Flax,26.1,bu/ac
2010,1,Spring Wheat,37.8,bu/ac
2010,1,Canola,27.6,bu/ac
2010,1,Barley,60.9,bu/ac
2010,1,Oats,69.2,bu/ac
2010,1,Peas,24.8,bu/ac
2010,1,Lentils,678,lb/ac
2010,1,Flax,15.5,bu/ac
2011,1,Spring Wheat,24.8,bu/ac
2011,1,Canola,17.2,bu/ac
2011,1,Barley,9.6,bu/ac
2011,1,Oats,41.5,bu/ac
2011,1,Peas,10.7,bu/ac
2012,1,Spring Wheat,36.2,bu/ac
2012,1,Canola,22.3,bu/ac
2012,1,Barley,53.8,bu/ac
2012,1,Oats,54.7,bu/ac
2012,1,Peas,29,bu/ac
2012,1,Flax,18,bu/ac
2013,1,Spring Wheat,47.4,bu/ac
2013,1,Canola,32.1,bu/ac
2013,1,Barley,73.7,bu/ac
2013,1,Oats,58.7,bu/ac
2013,1,Peas,38.2,bu/ac
2013,1,Flax,30.2,bu/ac
2014,1,Canola,26.21,bu/ac
2014,1,Barley,52.08,bu/ac
2014,1,Oats,59.69,bu/ac
2014,1,Peas,36.8,bu/ac
2014,1,Flax,18.23,bu/ac
2015,1,Spring Wheat,34.32,bu/ac
2015,1,Durum,29.18,bu/ac
2015,1,Canola,28.65,bu/ac
2015,1,Barley,50.96,bu/ac
2015,1,Oats,56.36,bu/ac
2015,1,Peas,37.7,bu/ac
2015,1,Flax,16.07,bu/ac
2016,1,Spring Wheat,40.5,bu/ac
2016,1,Durum,38.4,bu/ac
2016,1,Canola,32.1,bu/ac
2016,1,Barley,68.1,bu/ac
2016,1,Oats,75.7,bu/ac
2016,1,Peas,26.2,bu/ac
2016,1,Lentils,728,lb/ac
2016,1,Flax,24.1,bu/ac
2017,1,Spring Wheat,45.97,bu/ac
2017,1,Canola,39.19,bu/ac
2017,1,Oats,85.82,bu/ac
2017,1,Peas,43.4,bu/ac
2017,1,Flax,26.69,bu/ac
2018,1,Spring Wheat,50,bu/ac
2018,1,Canola,39.2,bu/ac
2018,1,Barley,76,bu/ac
2018,1,Oats,96,bu/ac
2018,1,Peas,42,bu/ac
2018,1,Flax,25,bu/ac
2019,1,Spring Wheat,50.9,bu/ac
2019,1,Canola,32.4,bu/ac
2019,1,Barley,83.5,bu/ac
2019,1,Oats,102.1,bu/ac
2019,1,Peas,43.8,bu/ac
2019,1,Flax,25,bu/ac
2020,1,Spring Wheat,56,bu/ac
2020,1,Canola,39.9,bu/ac
2020,1,Barley,94,bu/ac
2020,1,Oats,120.2,bu/ac
2020,1,Peas,48.4,bu/ac
2020,1,Flax,31.9,bu/ac
2021,1,Spring Wheat,46.2,bu/ac
2021,1,Canola,33.2,bu/ac
2021,1,Barley,63.7,bu/ac
2021,1,Oats,84,bu/ac
2021,1,Peas,37.7,bu/ac
2021,1,Flax,22.1,bu/ac
2022,1,Spring Wheat,52.4,bu/ac
2022,1,Canola,37.4,bu/ac
2022,1,Barley,90.3,bu/ac
2022,1,Oats,105.6,bu/ac
2022,1,Peas,47.4,bu/ac
2023,1,Spring Wheat,50.8,bu/ac
2023,1,Canola,36.8,bu/ac
2023,1,Barley,53,bu/ac
2023,1,Oats,55.1,bu/ac
2023,1,Peas,44.9,bu/ac
2024,1,Spring Wheat,46.7,bu/ac
2024,1,Canola,36.4,bu/ac
2024,1,Barley,77.1,bu/ac
2024,1,Oats,99.4,bu/ac
2024,1,Peas,40.1,bu/ac
2025,1,Spring Wheat,60.4,bu/ac
2025,1,Durum,64.3,bu/ac
2025,1,Canola,48.3,bu/ac
2025,1,Barley,80.2,bu/ac
2025,1,Oats,122.6,bu/ac
2025,1,Peas,53.3,bu/ac
1990,2,Spring Wheat,31.4,bu/ac
1990,2,Durum,37.2,bu/ac
1990,2,Canola,20,bu/ac
1990,2,Barley,55,bu/ac
1990,2,Oats,60,bu/ac
1990,2,Flax,23,bu/ac
1991,2,Spring Wheat,25.9,bu/ac
1991,2,Durum,29.3,bu/ac
1991,2,Canola,24.8,bu/ac
1991,2,Barley,40.2,bu/ac
1991,2,Oats,44.6,bu/ac
1991,2,Flax,18.1,bu/ac
1992,2,Spring Wheat,37.9,bu/ac
1992,2,Durum,40.3,bu/ac
1992,2,Canola,31.8,bu/ac
1992,2,Barley,75.1,bu/ac
1992,2,Oats,77.2,bu/ac
1992,2,Flax,19.3,bu/ac
1993,2,Spring Wheat,31.1,bu/ac
1993,2,Durum,35.1,bu/ac
1993,2,Canola,30,bu/ac
1993,2,Barley,60.7,bu/ac
1993,2,Oats,62.1,bu/ac
1993,2,Peas,35,bu/ac
1993,2,Flax,25,bu/ac
1994,2,Spring Wheat,27.6,bu/ac
1994,2,Durum,28.5,bu/ac
1994,2,Canola,21,bu/ac
1994,2,Barley,52.5,bu/ac
1994,2,Oats,51,bu/ac
1994,2,Peas,21.7,bu/ac
1994,2,Lentils,1300,lb/ac
1994,2,Flax,17.5,bu/ac
1995,2,Spring Wheat,20.5,bu/ac
1995,2,Durum,25.7,bu/ac
1995,2,Canola,17.5,bu/ac
1995,2,Barley,46.1,bu/ac
1995,2,Oats,56,bu/ac
1995,2,Peas,29.2,bu/ac
1995,2,Lentils,1200,lb/ac
1995,2,Flax,23,bu/ac
1996,2,Spring Wheat,24.9,bu/ac
1996,2,Durum,29.4,bu/ac
1996,2,Canola,21.8,bu/ac
1996,2,Barley,46.4,bu/ac
1996,2,Oats,51.9,bu/ac
1996,2,Peas,30,bu/ac
1996,2,Lentils,1500,lb/ac
1996,2,Flax,20.8,bu/ac
1997,2,Spring Wheat,20.5,bu/ac
1997,2,Durum,22.3,bu/ac
1997,2,Canola,21.8,bu/ac
1997,2,Barley,40.1,bu/ac
1997,2,Oats,52.3,bu/ac
1997,2,Peas,28.7,bu/ac
1997,2,Lentils,1233.3,lb/ac
1997,2,Flax,14.7,bu/ac
1998,2,Spring Wheat,27.9,bu/ac
1998,2,Durum,27,bu/ac
1998,2,Canola,25.5,bu/ac
1998,2,Barley,53.1,bu/ac
1998,2,Oats,56.7,bu/ac
1998,2,Peas,28.8,bu/ac
1998,2,Lentils,680,lb/ac
1998,2,Flax,19.2,bu/ac
1999,2,Spring Wheat,22.5,bu/ac
1999,2,Durum,25.7,bu/ac
1999,2,Canola,21.6,bu/ac
1999,2,Barley,34.5,bu/ac
1999,2,Oats,34.1,bu/ac
1999,2,Peas,35,bu/ac
1999,2,Lentils,1200,lb/ac
1999,2,Flax,16.9,bu/ac
2000,2,Spring Wheat,31.6,bu/ac
2000,2,Durum,32.4,bu/ac
2000,2,Canola,27,bu/ac
2000,2,Barley,52.4,bu/ac
2000,2,Oats,60.9,bu/ac
2000,2,Peas,40.6,bu/ac
2000,2,Flax,19.3,bu/ac
2001,2,Spring Wheat,25.5,bu/ac
2001,2,Durum,23.8,bu/ac
2001,2,Canola,23.5,bu/ac
2001,2,Barley,45.2,bu/ac
2001,2,Oats,46.8,bu/ac
2001,2,Peas,31.1,bu/ac
2001,2,Flax,22.9,bu/ac
2002,2,Spring Wheat,30.8,bu/ac
