Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas
2015,1,34.32,29.18,28.65,50.96,56.36,37.7
2016,1,40.5,38.4,32.1,68.1,75.7,26.2
2017,1,45.97,,39.19,,85.82,43.4
2018,1,50,,39.2,76,96,42
2019,1,50.9,,32.4,83.5,102.1,43.8
2020,1,56,,39.9,94,120.2,48.4
2021,1,46.2,,33.2,63.7,84,37.7
2022,1,52.4,,37.4,90.3,105.6,47.4
2023,1,50.8,,36.8,53,55.1,44.9
2024,1,46.7,,36.4,77.1,99.4,40.1
2015,2,36.63,32.67,29.45,44.18,55.23,29.7
2016,2,40.3,54.4,31,63.1,104.2,30.1
2017,2,44.32,,33.77,50.92,70.13,34
2018,2,44.4,,33.8,63,71.4,47
2019,2,51.1,,34.4,59.8,83.5,43.1
2020,2,58.1,60,41.3,80.8,93.5,56.4
2021,2,43.7,37.7,30.4,52.1,76.5,44.1
2022,2,46.5,53.1,39.1,61.2,77.9,46.9
2023,2,48.5,,34.4,50.5,81.8,41.3
2024,2,56.2,45.7,36.2,67.5,95.3,48.3
2015,3,36.46,36.61,31.04,54.24,59.79,27.1
2016,3,46,47.4,37.3,68.6,66.8,33.2
2017,3,42.78,34.91,32.55,64.34,71.67,28.8
2018,3,46.6,50,32.6,65,72.5,35.5
2019,3,48.9,49.7,33.1,63.1,60.3,39.1
2020,3,49.5,46.7,34.5,78.2,68.1,39.5
2021,3,44.5,42.3,26.1,70.8,74.6,44.5
2022,3,55.2,57.5,42.2,72.5,82.8,41.2
2023,3,49,42.7,31.5,62.6,76.9,36.9
2024,3,51.2,51.7,38.6,83.3,99.3,36.8
2015,4,28.78,23.53,25.39,38.62,47.87,27.8
2016,4,45.4,42.6,35.6,43.8,106.7,31.2
2017,4,39.11,36.54,29.46,50.42,61.16,36.6
2018,4,46,46,36,50.4,,38
2019,4,44.3,57,39.1,58.7,68.9,38.7
2020,4,45.6,51.6,33.3,51,,43.2
2021,4,48,44,33.3,47.3,62.7,34.1
2022,4,46.4,52.2,34.8,68.3,74.5,30.9
2023,4,33.3,32.7,30.8,45,80,38.4
2024,4,43.9,45.7,28.8,64.1,88.9,20.3
2015,5,31.26,36.55,30.6,49,,32.5
2016,5,26.5,45,32.1,76.8,,32.5
2017,5,35.69,29.55,24.72,,,30.1
2018,5,39.1,49,29.9,72,,34
2019,5,43.3,44.5,33.9,58.2,48,37
2020,5,47.6,50.8,34.8,83.4,,41.9
2021,5,39.8,40.3,28.7,64.4,,35.2
2022,5,37.6,52.6,42.2,84.6,,38.5
2023,5,40.2,33.5,23.9,50,,32.7
2024,5,47.6,40.7,29.5,52.1,,33.6
2015,6,30.56,37.62,31.42,34.87,87.23,33.1
2016,6,33,47.1,34.8,54.4,97.3,35.4
2017,6,23,24.77,15.69,27.85,,18.3
2018,6,37,36.4,24.8,54,,30
2019,6,39.8,52.2,30.3,62.6,,38.7
2020,6,43.4,51.1,35.3,87.3,58.7,39.4
2021,6,36.3,41.9,30.1,56.2,47.3,33.8
2022,6,53,55.5,39.2,69.5,,32.7
2023,6,30.4,27.5,21,54,,25.3
2024,6,46.5,42.2,30.6,43.1,58.6,35.8
2015,7,28.42,40.45,33.19,26.83,,32.8
2016,7,44.9,47.3,37.9,44.3,110,37.1
2017,7,,20.62,14.08,,,12.5
2018,7,49,32.8,25,,,21.5
2019,7,53.2,50.4,29.3,88.5,66.5,31.6
2020,7,21.5,49.8,35.6,67.8,,41.5
2021,7,30,38.8,27.2,64.9,,29.9
2022,7,41.9,51.4,38.5,69.6,54.6,33.4
2023,7,28.3,29.5,21,32.6,,24.9
2024,7,27.1,39,28.2,,,27.8
2015,8,25.66,24.15,29.22,,29.57,24.1
2016,8,35.9,33.8,40.4,40,66.7,36.8
2017,8,17.17,25.71,14.2,,,
2018,8,31,32.4,23.6,,52,
2019,8,33.9,53.6,30.2,,72.3,40.7
2020,8,27.4,41.3,34.4,,67.9,
2021,8,19.6,31.9,25.7,12.3,,21.5
2022,8,19.5,38.7,30.9,,51.3,36.1
2023,8,19.3,32.5,20.5,,19.6,26.1
2024,8,27.5,22.5,17.7,23.2,36.9,17.4
2015,9,23.72,28.7,,,,22.8
2016,9,,43.5,,,69.2,43
2017,9,,19.9,17.31,,31.04,
2018,9,15,31.9,39,,61,36
