Variety,Acres,Yield_bu_ac
SYNERGY AAC,411620,86.5
AUSTENSON CDC,215178,75.1
CONNECT AAC,147017,89.8
COPELAND CDC,127141,84.6
FRASER CDC,81451,86.4
CHURCHILL CDC,69336,92
MAVERICK CDC,55767,48.3
DURANGO CDC,43109,85.8
ADVANTAGE AB,23235,75.7
CLAYMORE,22341,77.2
LEGACY,21311,95.9
ALTORADO,18710,96.7
RENEGADE CDC,17566,66.9
COWBOY CDC,10249,40.5
CHAMPION,8884,55.9
GOLDSTAR CDC,8135,98
ESMA,6754,97.1
METCALFE AC,6070,55.3
CATTLELAC AB,5792,72.5
OREANA,5636,102.6
CONLON,5274,84.1
HAGUE AB,4750,73
WRANGLER AB,3015,39.2
BRAHMA,2607,124.7
NEWDALE,2190,89.1
CERVEZA,1998,97.5
ROSSER AC,1430,72
XENA,1287,56.5
COPPER CDC,901,79.2
MCGWIRE CDC,825,79.2
ALBRIGHT AC,700,80.1
RATTAN CDC,460,90.8
