field_id,region,variety,acres,yield_bu_ac,fertilizer_kg_ha,irrigated,seeding_date
F001,Central,InVigor L345PC,137,48.4,54,FALSE,2025-05-01
F002,Central,Liberty 6060,246,40.2,77,FALSE,2025-05-12
F003,South,InVigor L345PC,184,50.0,151,TRUE,2025-05-16
F004,North,Liberty 6060,112,47.1,112,FALSE,2025-05-13
F005,South,Liberty 6060,447,46.6,114,TRUE,2025-05-06
F006,North,PV 581 GC,330,46.9,106,FALSE,2025-05-10
F007,South,InVigor L345PC,93,46.0,70,FALSE,2025-04-30
F008,North,PV 581 GC,319,37.1,130,TRUE,2025-04-17
F009,North,DKTC 9105,270,43.3,82,FALSE,2025-04-24
F010,North,PV 581 GC,283,41.2,71,FALSE,2025-04-28
F011,North,Liberty 6060,221,43.9,72,TRUE,2025-05-06
F012,North,Liberty 6060,228,43.6,89,FALSE,2025-05-01
F013,North,Liberty 6060,281,48.5,147,FALSE,2025-04-18
F014,North,DKTC 9105,217,49.0,141,FALSE,2025-04-23
F015,Central,DKTC 9105,350,44.7,78,TRUE,2025-05-05
F016,North,DKTC 9105,123,52.5,132,FALSE,2025-05-08
F017,Central,Liberty 6060,119,47.6,89,FALSE,2025-05-12
F018,Central,Liberty 6060,217,46.8,110,FALSE,2025-04-21
F019,Central,PV 581 GC,199,52.2,120,FALSE,2025-05-04
F020,South,PV 581 GC,92,37.6,86,FALSE,2025-05-22
F021,Central,Liberty 6060,203,51.0,132,FALSE,2025-04-17
F022,Central,DKTC 9105,479,37.2,86,FALSE,2025-05-01
F023,Central,DKTC 9105,351,57.4,128,FALSE,2025-04-19
F024,Central,InVigor L345PC,417,57.8,124,FALSE,2025-05-04
F025,South,Liberty 6060,450,49.2,146,FALSE,2025-05-21
F026,South,DKTC 9105,147,49.2,140,FALSE,2025-05-18
F027,Central,Liberty 6060,452,55.6,128,FALSE,2025-04-23
F028,South,DKTC 9105,453,33.4,90,FALSE,2025-04-30
F029,South,DKTC 9105,448,46.6,86,FALSE,2025-05-06
F030,Central,DKTC 9105,473,46.6,70,FALSE,2025-04-19
F031,North,InVigor L345PC,174,36.1,54,FALSE,2025-05-07
F032,Central,InVigor L345PC,265,46.3,84,FALSE,2025-05-20
F033,South,Liberty 6060,486,54.5,141,TRUE,2025-05-15
F034,South,InVigor L345PC,295,48.6,137,FALSE,2025-05-02
F035,North,DKTC 9105,278,43.3,93,TRUE,2025-04-21
F036,North,PV 581 GC,341,49.3,135,FALSE,2025-05-18
F037,North,InVigor L345PC,429,48.5,104,FALSE,2025-05-16
F038,Central,InVigor L345PC,456,47.0,127,FALSE,2025-04-18
F039,Central,Liberty 6060,246,41.8,122,FALSE,2025-05-05
F040,Central,Liberty 6060,287,50.5,109,FALSE,2025-05-09
F041,South,Liberty 6060,153,49.1,89,FALSE,2025-05-01
F042,Central,DKTC 9105,467,43.4,93,FALSE,2025-04-17
F043,South,InVigor L345PC,210,49.9,103,FALSE,2025-05-23
F044,North,PV 581 GC,353,43.0,99,TRUE,2025-05-11
F045,North,PV 581 GC,160,45.3,102,FALSE,2025-05-12
F046,South,DKTC 9105,351,49.9,146,TRUE,2025-05-18
F047,Central,Liberty 6060,356,53.4,51,FALSE,2025-05-12
F048,Central,InVigor L345PC,311,52.3,84,TRUE,2025-04-16
F049,South,DKTC 9105,458,47.6,108,TRUE,2025-04-20
F050,South,InVigor L345PC,197,48.8,96,FALSE,2025-05-18
F051,North,InVigor L345PC,289,50.7,54,FALSE,2025-05-08
F052,Central,PV 581 GC,276,46.0,151,FALSE,2025-04-30
F053,South,InVigor L345PC,65,33.5,107,TRUE,2025-05-24
F054,Central,Liberty 6060,483,43.9,100,FALSE,2025-04-29
F055,North,Liberty 6060,153,45.4,109,FALSE,2025-04-22
F056,South,PV 581 GC,90,42.4,64,TRUE,2025-05-13
F057,North,DKTC 9105,344,42.1,107,TRUE,2025-04-26
F058,North,InVigor L345PC,160,52.4,62,FALSE,2025-04-15
F059,South,Liberty 6060,145,42.2,72,FALSE,2025-05-20
F060,Central,DKTC 9105,69,37.5,65,FALSE,2025-05-06
F061,Central,DKTC 9105,90,51.0,146,FALSE,2025-05-13
F062,South,PV 581 GC,144,36.2,106,FALSE,2025-05-16
F063,South,InVigor L345PC,153,43.7,59,FALSE,2025-05-15
F064,South,DKTC 9105,352,38.1,53,FALSE,2025-04-18
F065,Central,DKTC 9105,214,49.8,157,FALSE,2025-05-13
F066,Central,InVigor L345PC,69,51.0,125,FALSE,2025-05-03
F067,South,DKTC 9105,246,44.7,145,FALSE,2025-04-18
F068,Central,Liberty 6060,487,42.2,84,FALSE,2025-05-15
F069,Central,InVigor L345PC,86,42.3,84,FALSE,2025-05-03
F070,Central,DKTC 9105,365,56.8,97,FALSE,2025-04-18
F071,South,PV 581 GC,268,45.5,90,FALSE,2025-05-18
F072,North,DKTC 9105,332,52.1,91,FALSE,2025-05-24
F073,South,Liberty 6060,190,37.7,62,FALSE,2025-05-24
F074,North,DKTC 9105,323,50.7,116,FALSE,2025-04-24
F075,North,InVigor L345PC,118,53.3,152,FALSE,2025-05-09
F076,South,DKTC 9105,69,46.5,92,FALSE,2025-04-20
F077,North,InVigor L345PC,430,44.5,148,FALSE,2025-04-15
F078,South,PV 581 GC,479,37.3,53,FALSE,2025-05-08
F079,South,Liberty 6060,248,45.3,79,FALSE,2025-04-18
F080,Central,PV 581 GC,255,43.2,60,FALSE,2025-04-21
F081,South,DKTC 9105,279,43.5,112,FALSE,2025-05-24
F082,Central,DKTC 9105,299,48.1,137,TRUE,2025-04-30
F083,South,DKTC 9105,431,41.6,112,TRUE,2025-05-18
F084,South,DKTC 9105,436,28.9,70,FALSE,2025-05-03
F085,South,PV 581 GC,328,47.2,140,FALSE,2025-04-30
F086,South,DKTC 9105,145,40.8,51,FALSE,2025-04-15
F087,Central,Liberty 6060,214,45.1,133,TRUE,2025-04-27
