Risk_Zone,Crop,Variety,Year,Acres,Yield
1,Barley,ALTORADO,2021,,
1,Barley,ALTORADO,2022,,
1,Barley,ALTORADO,2023,,
1,Barley,ALTORADO,2024,505,65.9
1,Barley,ALTORADO,2025,780,77.2
1,Barley,AUSTENSON CDC,2021,5965,59.9
1,Barley,AUSTENSON CDC,2022,5057,76.4
1,Barley,AUSTENSON CDC,2023,5042,68.2
1,Barley,AUSTENSON CDC,2024,4060,80.9
1,Barley,AUSTENSON CDC,2025,3212,86.9
1,Barley,CERVEZA,2021,,
1,Barley,CERVEZA,2022,,
1,Barley,CERVEZA,2023,1855,76.3
1,Barley,CERVEZA,2024,1636,90.9
1,Barley,CERVEZA,2025,1998,97.5
1,Barley,CHURCHILL CDC,2021,,
1,Barley,CHURCHILL CDC,2022,,
1,Barley,CHURCHILL CDC,2023,730,75.1
1,Barley,CHURCHILL CDC,2024,1277,107.5
1,Barley,CHURCHILL CDC,2025,2029,102.5
1,Barley,CONNECT AAC,2021,1967,55.6
1,Barley,CONNECT AAC,2022,1680,77.6
1,Barley,CONNECT AAC,2023,3846,77.2
1,Barley,CONNECT AAC,2024,3188,85.5
1,Barley,CONNECT AAC,2025,4004,87.5
1,Barley,COPELAND CDC,2021,21251,63.3
1,Barley,COPELAND CDC,2022,17735,67.0
1,Barley,COPELAND CDC,2023,10862,67.8
1,Barley,COPELAND CDC,2024,9425,84.1
1,Barley,COPELAND CDC,2025,7850,95.9
1,Barley,DURANGO CDC,2021,,
1,Barley,DURANGO CDC,2022,,
1,Barley,DURANGO CDC,2023,,
1,Barley,DURANGO CDC,2024,,
1,Barley,DURANGO CDC,2025,1178,92.8
1,Barley,ESMA,2021,,
1,Barley,ESMA,2022,,
1,Barley,ESMA,2023,,
1,Barley,ESMA,2024,,
1,Barley,ESMA,2025,1236,87.9
1,Barley,SYNERGY AAC,2021,4298,74.9
1,Barley,SYNERGY AAC,2022,4638,87.2
1,Barley,SYNERGY AAC,2023,9603,72.5
1,Barley,SYNERGY AAC,2024,7856,83.2
1,Barley,SYNERGY AAC,2025,9243,89.1
1,Canola/Rapeseed,BY 7204LL,2021,,
1,Canola/Rapeseed,BY 7204LL,2022,,
1,Canola/Rapeseed,BY 7204LL,2023,,
1,Canola/Rapeseed,BY 7204LL,2024,1189,37.4
1,Canola/Rapeseed,BY 7204LL,2025,1380,52.1
1,Canola/Rapeseed,CS4000 LL,2021,,
1,Canola/Rapeseed,CS4000 LL,2022,,
1,Canola/Rapeseed,CS4000 LL,2023,868,32.6
1,Canola/Rapeseed,CS4000 LL,2024,1508,40.4
1,Canola/Rapeseed,CS4000 LL,2025,791,45.5
1,Canola/Rapeseed,CS4100 LL,2021,,
1,Canola/Rapeseed,CS4100 LL,2022,,
1,Canola/Rapeseed,CS4100 LL,2023,,
1,Canola/Rapeseed,CS4100 LL,2024,,
1,Canola/Rapeseed,CS4100 LL,2025,4210,40.3
1,Canola/Rapeseed,DK 801 LL,2021,,
1,Canola/Rapeseed,DK 801 LL,2022,,
1,Canola/Rapeseed,DK 801 LL,2023,,
1,Canola/Rapeseed,DK 801 LL,2024,,
1,Canola/Rapeseed,DK 801 LL,2025,1710,47.8
1,Canola/Rapeseed,DK400TL,2021,,
1,Canola/Rapeseed,DK400TL,2022,,
1,Canola/Rapeseed,DK400TL,2023,,
1,Canola/Rapeseed,DK400TL,2024,2696,35.8
1,Canola/Rapeseed,DK400TL,2025,1648,53.5
1,Canola/Rapeseed,DK401TK,2021,,
1,Canola/Rapeseed,DK401TK,2022,,
1,Canola/Rapeseed,DK401TK,2023,,
1,Canola/Rapeseed,DK401TK,2024,,
1,Canola/Rapeseed,DK401TK,2025,3015,59.1
1,Canola/Rapeseed,DK800LL,2021,,
1,Canola/Rapeseed,DK800LL,2022,,
1,Canola/Rapeseed,DK800LL,2023,,
1,Canola/Rapeseed,DK800LL,2024,,
1,Canola/Rapeseed,DK800LL,2025,2797,41.5
1,Canola/Rapeseed,LR354PC,2021,,
