field_id,soil_zone,variety,acres,yield_bu_ac,protein_pct,seeded_rate_lb_ac
W001,Dark Brown,AAC Viewfield,309,49.2,14.0,107
W002,Brown,AAC Viewfield,400,39.7,15.4,137
W003,Dark Brown,AAC Viewfield,513,41.2,15.2,118
W004,Brown,AAC Viewfield,93,37.9,15.9,116
W005,Dark Brown,CDC Landmark,565,43.4,15.2,111
W006,Dark Brown,AAC Viewfield,198,42.5,15.1,133
W007,Dark Brown,AAC Brandon,415,46.7,15.8,91
W008,Dark Brown,AAC Viewfield,452,42.8,15.5,91
W009,Brown,AAC Viewfield,459,38.6,15.4,93
W010,Brown,AAC Brandon,350,33.2,16.4,127
W011,Dark Brown,AAC Brandon,86,47.6,14.8,131
W012,Brown,CDC Landmark,457,43.6,14.9,137
W013,Black,CDC Landmark,552,67.3,13.7,122
W014,Brown,CDC Landmark,169,31.6,16.7,103
W015,Brown,AAC Viewfield,267,36.2,15.1,95
W016,Dark Brown,CDC Landmark,132,46.1,16.5,90
W017,Brown,AAC Brandon,463,,16.9,91
W018,Dark Brown,AAC Brandon,303,46.8,16.1,135
W019,Dark Brown,CDC Landmark,154,44.7,14.9,135
W020,Brown,AAC Viewfield,196,37.4,16.3,140
W021,Black,AAC Viewfield,191,47.5,14.9,120
W022,Brown,AAC Brandon,450,41.0,16.7,129
W023,Black,AAC Brandon,173,53.6,,132
W024,Black,CDC Landmark,572,52.0,15.2,135
W025,Black,CDC Landmark,600,56.9,15.1,137
W026,Dark Brown,CDC Landmark,485,51.9,15.2,90
W027,Black,CDC Landmark,204,54.9,14.4,111
W028,Brown,AAC Brandon,247,41.7,17.1,123
W029,Black,CDC Landmark,540,59.7,14.0,139
W030,Dark Brown,CDC Landmark,501,62.8,15.2,120
W031,Brown,AAC Brandon,575,36.4,16.0,104
W032,Black,AAC Viewfield,179,47.4,15.0,135
W033,Brown,AAC Viewfield,184,46.4,16.1,99
W034,Dark Brown,AAC Brandon,144,40.3,15.8,94
W035,Dark Brown,AAC Brandon,180,51.2,14.7,136
W036,Black,CDC Landmark,242,49.1,15.5,99
W037,Black,AAC Viewfield,111,47.0,14.1,130
W038,Brown,CDC Landmark,128,38.0,13.9,108
W039,Brown,CDC Landmark,221,40.7,16.0,137
W040,Dark Brown,AAC Brandon,360,43.0,14.3,94
W041,Brown,AAC Brandon,513,41.2,15.8,135
W042,Brown,CDC Landmark,615,33.1,16.3,106
W043,Black,CDC Landmark,385,54.9,15.2,111
W044,Black,CDC Landmark,312,52.9,15.4,135
W045,Dark Brown,CDC Landmark,89,47.8,15.6,121
W046,Black,AAC Viewfield,417,47.5,15.8,103
W047,Black,AAC Brandon,421,51.3,15.7,139
W048,Dark Brown,AAC Viewfield,466,45.1,14.9,107
W049,Black,AAC Brandon,127,59.8,13.7,129
W050,Dark Brown,AAC Brandon,473,45.0,15.5,119
W051,Brown,AAC Brandon,525,32.0,16.8,138
W052,Dark Brown,CDC Landmark,590,40.6,15.2,111
W053,Brown,AAC Viewfield,159,41.6,15.6,130
W054,Black,CDC Landmark,497,51.9,14.1,114
W055,Brown,AAC Brandon,223,32.5,17.7,102
W056,Black,CDC Landmark,285,54.0,14.9,108
W057,Black,CDC Landmark,189,59.0,16.6,127
W058,Black,CDC Landmark,108,,15.1,104
W059,Brown,AAC Brandon,460,35.6,15.2,94
W060,Dark Brown,AAC Viewfield,459,38.5,16.5,111
W061,Dark Brown,CDC Landmark,282,48.6,16.8,112
W062,Dark Brown,CDC Landmark,165,53.0,14.8,124
W063,Brown,CDC Landmark,338,45.6,15.3,125
W064,Dark Brown,CDC Landmark,161,49.9,13.7,132
W065,Brown,AAC Viewfield,554,43.1,15.8,112
W066,Black,CDC Landmark,282,54.8,14.2,101
W067,Brown,AAC Viewfield,490,39.6,14.5,117
W068,Dark Brown,CDC Landmark,177,41.8,15.5,101
W069,Brown,AAC Brandon,431,39.9,13.3,137
W070,Brown,AAC Viewfield,214,39.3,16.4,95
W071,Brown,CDC Landmark,423,38.5,,95
W072,Dark Brown,CDC Landmark,409,47.6,15.6,111
W073,Black,AAC Viewfield,466,55.8,15.3,118
W074,Brown,AAC Brandon,454,40.9,15.3,131
W075,Brown,AAC Brandon,219,37.6,16.2,102
W076,Black,AAC Viewfield,300,54.1,15.1,109
W077,Dark Brown,AAC Brandon,138,49.6,15.0,112
W078,Dark Brown,AAC Brandon,226,43.4,13.9,119
W079,Dark Brown,CDC Landmark,372,41.4,17.1,102
W080,Black,AAC Brandon,123,46.5,16.6,92
W081,Black,AAC Viewfield,481,48.0,15.6,106
W082,Black,AAC Viewfield,502,50.5,15.6,103
