Year,Province,Crop,Seeded_acres,Yield_bu_ac
2015,Alberta,Barley,3500000,68.3
2015,Alberta,Canola,6265000,41.4
2015,Alberta,Corn for grain,40000,107.8
2015,Alberta,Dry peas,1515000,32.6
2015,Alberta,Durum wheat,890000,34.5
2015,Alberta,Flax,120000,27.7
2015,Alberta,Mixed grains,115000,60.0
2015,Alberta,Oats,725000,70.8
2015,Alberta,Rye,45000,43.3
2015,Alberta,Spring wheat,5910000,46.9
2015,Alberta,Wheat (all),6980000,45.4
2015,Alberta,Winter wheat,160000,51.9
2015,British Columbia,Barley,60000,62.0
2015,British Columbia,Canola,90000,34.7
2015,British Columbia,Dry peas,30000,36.2
2015,British Columbia,Mixed grains,10000,
2015,British Columbia,Oats,75000,75.2
2015,British Columbia,Spring wheat,100000,50.6
2015,British Columbia,Wheat (all),100000,50.6
2015,Manitoba,Barley,450000,68.8
2015,Manitoba,Canola,3215000,39.5
2015,Manitoba,Corn for grain,275000,121.6
2015,Manitoba,Dry peas,70000,42.9
2015,Manitoba,Flax,125000,23.6
2015,Manitoba,Mixed grains,20000,48.0
2015,Manitoba,Oats,490000,94.1
2015,Manitoba,Rye,75000,47.7
2015,Manitoba,Soybeans,1410000,36.4
2015,Manitoba,Spring wheat,2935000,49.2
2015,Manitoba,Wheat (all),3170000,50.1
2015,Manitoba,Winter wheat,220000,61.4
2015,New Brunswick,Barley,18000,66.7
2015,New Brunswick,Corn for grain,9000,120.0
2015,New Brunswick,Oats,27000,78.9
2015,New Brunswick,Soybeans,11000,36.4
2015,New Brunswick,Spring wheat,10000,51.0
2015,New Brunswick,Wheat (all),10000,51.0
2015,Nova Scotia,Barley,3000,62.7
2015,Nova Scotia,Corn for grain,20000,125.7
2015,Nova Scotia,Oats,4000,66.5
2015,Nova Scotia,Soybeans,11000,42.7
2015,Nova Scotia,Wheat (all),8000,74.7
2015,Nova Scotia,Winter wheat,7500,74.7
2015,Ontario,Barley,115000,66.4
2015,Ontario,Canola,35000,42.9
2015,Ontario,Corn for grain,2095000,169.0
2015,Ontario,Mixed grains,100000,71.3
2015,Ontario,Oats,130000,87.0
2015,Ontario,Rye,60000,40.7
2015,Ontario,Soybeans,2930000,46.8
2015,Ontario,Spring wheat,125000,64.0
2015,Ontario,Wheat (all),825000,76.2
2015,Ontario,Winter wheat,655000,78.6
2015,Prince Edward Island,Barley,58000,64.1
2015,Prince Edward Island,Oats,12000,70.8
2015,Prince Edward Island,Soybeans,50000,33.9
2015,Prince Edward Island,Spring wheat,25000,53.7
2015,Prince Edward Island,Wheat (all),33000,52.3
2015,Prince Edward Island,Winter wheat,6000,46.7
2015,Quebec,Barley,126000,62.3
2015,Quebec,Canola,29700,39.7
2015,Quebec,Corn for grain,920000,162.5
2015,Quebec,Mixed grains,35800,51.4
2015,Quebec,Oats,247200,67.5
2015,Quebec,Rye,17300,40.6
2015,Quebec,Soybeans,850000,47.3
2015,Quebec,Spring wheat,177900,51.0
2015,Quebec,Wheat (all),206300,51.7
2015,Quebec,Winter wheat,23500,57.1
2015,Saskatchewan,Barley,2340000,60.7
2015,Saskatchewan,Canola,11150000,37.9
2015,Saskatchewan,Dry peas,2135000,30.9
2015,Saskatchewan,Durum wheat,4900000,34.6
2015,Saskatchewan,Flax,1350000,23.7
2015,Saskatchewan,Oats,1650000,90.9
2015,Saskatchewan,Rye,100000,26.3
2015,Saskatchewan,Soybeans,270000,24.9
2015,Saskatchewan,Spring wheat,7695000,39.7
2015,Saskatchewan,Wheat (all),12855000,37.8
2015,Saskatchewan,Winter wheat,240000,39.2
2016,Alberta,Barley,3413900,75.9
2016,Alberta,Canola,6165700,45.4
2016,Alberta,Corn for grain,40900,128.7
2016,Alberta,Dry peas,1909500,46.1
2016,Alberta,Durum wheat,1101500,53.6
2016,Alberta,Flax,78600,32.7
2016,Alberta,Mixed grains,242200,60.0
2016,Alberta,Oats,822200,94.2
2016,Alberta,Rye,81000,45.2
2016,Alberta,Spring wheat,5728500,58.8
2016,Alberta,Wheat (all),7024000,58.1
2016,Alberta,Winter wheat,179000,65.4
2016,British Columbia,Barley,57000,65.9
2016,British Columbia,Canola,95000,41.9
2016,British Columbia,Dry peas,49000,43.5
2016,British Columbia,Mixed grains,10000,68.0
2016,British Columbia,Oats,68000,98.6
2016,British Columbia,Spring wheat,101000,57.6
2016,British Columbia,Wheat (all),101000,57.6
2016,Manitoba,Barley,415936,72.0
2016,Manitoba,Canola,3199644,37.1
2016,Manitoba,Corn for grain,364905,135.3
2016,Manitoba,Dry peas,163200,38.2
2016,Manitoba,Flax,82787,27.8
2016,Manitoba,Mixed grains,22569,46.0
2016,Manitoba,Oats,444086,97.1
2016,Manitoba,Rye,125000,52.4
2016,Manitoba,Soybeans,1645397,41.0
2016,Manitoba,Spring wheat,2826000,51.4
2016,Manitoba,Wheat (all),2991000,52.6
2016,Manitoba,Winter wheat,161200,73.5
2016,New Brunswick,Barley,17057,65.0
2016,New Brunswick,Corn for grain,11004,123.8
2016,New Brunswick,Oats,25299,74.2
2016,New Brunswick,Soybeans,13434,36.2
2016,New Brunswick,Spring wheat,9320,49.4
2016,New Brunswick,Wheat (all),9320,49.4
2016,Nova Scotia,Barley,3562,65.2
2016,Nova Scotia,Corn for grain,20037,122.4
2016,Nova Scotia,Oats,4093,73.8
2016,Nova Scotia,Soybeans,11134,42.7
2016,Nova Scotia,Wheat (all),8000,73.1
2016,Nova Scotia,Winter wheat,7413,73.1
2016,Ontario,Barley,103700,63.2
2016,Ontario,Canola,39500,41.9
