Year,Province,Crop,Seeded_acres,Yield_bu_ac
2015,Alberta,Spring wheat,5910000,46.9
2015,British Columbia,Spring wheat,100000,50.6
2015,Manitoba,Spring wheat,2935000,49.2
2015,New Brunswick,Spring wheat,10000,51
2015,Ontario,Spring wheat,125000,64
2015,Prince Edward Island,Spring wheat,25000,53.7
2015,Quebec,Spring wheat,177900,51
2015,Saskatchewan,Spring wheat,7695000,39.7
2016,Alberta,Spring wheat,5728500,58.8
2016,British Columbia,Spring wheat,101000,57.6
2016,Manitoba,Spring wheat,2826000,51.4
2016,New Brunswick,Spring wheat,9320,49.4
2016,Ontario,Spring wheat,120500,52.9
2016,Prince Edward Island,Spring wheat,26677,50.8
2016,Quebec,Spring wheat,187700,51.1
2016,Saskatchewan,Spring wheat,6870000,46.1
2017,Alberta,Spring wheat,5860000,55.5
2017,British Columbia,Spring wheat,44000,53.3
2017,Manitoba,Spring wheat,2625000,61.3
2017,New Brunswick,Spring wheat,7000,54.3
2017,Ontario,Spring wheat,90000,46.7
2017,Prince Edward Island,Spring wheat,30000,55.4
2017,Quebec,Spring wheat,190300,46.6
2017,Saskatchewan,Spring wheat,6955000,47.9
2018,Alberta,Spring wheat,6265000,52.4
2018,British Columbia,Spring wheat,59500,56.7
2018,Manitoba,Spring wheat,2852100,61.1
2018,New Brunswick,Spring wheat,7200,50.5
2018,Nova Scotia,Spring wheat,1300,56.5
2018,Ontario,Spring wheat,85400,54.3
2018,Prince Edward Island,Spring wheat,28000,51.2
2018,Quebec,Spring wheat,185000,44.5
2018,Saskatchewan,Spring wheat,7827400,47.7
2019,Alberta,Spring wheat,6587600,54.7
2019,British Columbia,Spring wheat,68500,56.7
2019,Manitoba,Spring wheat,3099900,60.8
2019,New Brunswick,Spring wheat,9100,53.6
2019,Nova Scotia,Spring wheat,1600,44.5
2019,Ontario,Spring wheat,95500,58.5
2019,Prince Edward Island,Spring wheat,32700,56.9
2019,Quebec,Spring wheat,180900,50.7
2019,Saskatchewan,Spring wheat,8705800,47.3
2020,Alberta,Spring wheat,6314100,56.8
2020,British Columbia,Spring wheat,44900,42.8
2020,Manitoba,Spring wheat,3106400,61.5
2020,New Brunswick,Spring wheat,12200,40.2
2020,Nova Scotia,Spring wheat,3000,38.6
2020,Ontario,Spring wheat,116500,47.3
2020,Prince Edward Island,Spring wheat,34800,48.7
2020,Quebec,Spring wheat,241200,34.4
2020,Saskatchewan,Spring wheat,8053000,49.9
2021,Alberta,Spring wheat,5709845,36.8
2021,British Columbia,Spring wheat,54227,34.1
2021,Manitoba,Spring wheat,2841819,47.9
2021,New Brunswick,Spring wheat,5370,56.1
2021,Ontario,Spring wheat,113046,54.1
2021,Prince Edward Island,Spring wheat,18601,52.3
2021,Quebec,Spring wheat,184173,50.8
2021,Saskatchewan,Spring wheat,7092785,33.7
2022,Alberta,Spring wheat,6395500,58.1
2022,British Columbia,Spring wheat,72100,49.9
2022,Manitoba,Spring wheat,3023500,61.9
2022,New Brunswick,Spring wheat,8900,55
2022,Nova Scotia,Spring wheat,800,50.5
2022,Ontario,Spring wheat,88000,73.9
2022,Prince Edward Island,Spring wheat,20000,55.4
2022,Quebec,Spring wheat,158700,56.4
2022,Saskatchewan,Spring wheat,8306600,47.6
2023,Alberta,Spring wheat,6804900,47.1
2023,British Columbia,Spring wheat,90300,36.2
2023,Manitoba,Spring wheat,3166100,62.8
2023,New Brunswick,Spring wheat,8800,42
2023,Ontario,Spring wheat,80200,64.7
2023,Prince Edward Island,Spring wheat,20100,49.3
2023,Quebec,Spring wheat,184800,37.2
2023,Saskatchewan,Spring wheat,9141200,46.9
2024,Alberta,Spring wheat,6473000,49
2024,British Columbia,Spring wheat,89500,41.3
2024,Manitoba,Spring wheat,3183400,65.5
2024,New Brunswick,Spring wheat,7800,49.2
2024,Nova Scotia,Spring wheat,1700,56.1
2024,Ontario,Spring wheat,65100,49.6
2024,Prince Edward Island,Spring wheat,16500,44.7
2024,Quebec,Spring wheat,145900,44.7
2024,Saskatchewan,Spring wheat,8960100,49.9
2025,Alberta,Spring wheat,6524500,59.6
2025,British Columbia,Spring wheat,75500,52.6
2025,Manitoba,Spring wheat,3210400,65.7
2025,New Brunswick,Spring wheat,7000,48
2025,Nova Scotia,Spring wheat,2800,56
2025,Ontario,Spring wheat,62800,56.3
2025,Prince Edward Island,Spring wheat,16100,50.2
2025,Quebec,Spring wheat,136000,44.9
2025,Saskatchewan,Spring wheat,8773600,55.8
