Year,Crop,Variety,Acres,Yield_bu_ac
2021,Barley,AUSTENSON CDC,6661,20.3
2021,Barley,CHAMPION,621,32.5
2021,Barley,COPELAND CDC,7641,16.7
2021,Barley,FRASER CDC,684,7.7
2021,Barley,MAVERICK CDC,2770,25.1
2021,Barley,SYNERGY AAC,13203,21.2
2021,Canola,DKTFLL 21 SC,3243,17.8
2021,Canola,L233P,134957,15.6
2021,Canola,L340PC,12640,21.9
2021,Canola,L345PC,70309,16.6
2021,Field Peas,AMARILLO CDC,5881,19.5
2021,Field Peas,ARDILL AAC,3151,33.7
2021,Field Peas,CARVER AAC,875,6.5
2021,Field Peas,CHROME AAC,2091,11.6
2021,Field Peas,FOREST CDC,1705,24.5
2021,Field Peas,GOLDEN CDC,4613,12.2
2021,Field Peas,INCA CDC,11348,21.5
2021,Field Peas,MEADOW CDC,20748,16.5
2021,Flax,BETHUNE CDC,7055,10.9
2021,Flax,BRAVO AAC,1501,6.8
2021,Flax,DORADO CDC,762,10.7
2021,Flax,GLAS CDC,8129,14.2
2021,Flax,ROWLAND CDC,1269,8.5
2021,Flax,SORREL CDC,11286,10.9
2021,Flax,TOPAZ,5150,5.4
2021,Red Lentils,DAZIL CDC,6101,602
2021,Red Lentils,IMPACT CDC,2784,1750
2021,Red Lentils,IMPULSE,26262,584
2021,Red Lentils,MAXIM CDC,26525,653
2021,Red Lentils,NIMBLE,1811,996
2021,Red Lentils,PROCLAIM CDC,9665,1195
2021,Red Lentils,REDMOON,2501,459
2021,Red Lentils,SIMMIE CDC,489,926
2021,Oats,ARBORG CDC,509,34.6
2021,Oats,DANCER CDC,601,37.5
2021,Durum,ALLOY CDC,35424,16.2
2021,Durum,BRIGADE,40174,30.2
2021,Durum,COMMANDER,8041,42.8
2021,Durum,CONGRESS AAC,18632,18.9
2021,Durum,CREDENCE CDC,1765,24.5
2021,Durum,CURRENT AAC,5788,18.0
2021,Durum,DEFY CDC,2725,26.7
2021,Durum,DONLOW AAC,1654,7.1
2021,Durum,FORTITUDE CDC,5548,10.5
2021,Durum,GRAINLAND AAC,10360,10.5
2021,Durum,KYLE,2507,23.3
2021,Durum,PRECISION CDC,60745,22.7
2021,Durum,SPITFIRE AAC,23134,23.4
2021,Durum,STRONGFIELD,9347,12.9
2021,Durum,STRONGHOLD AAC,6566,9.5
2021,Durum,SUCCEED AAC VB,5804,30.6
2021,Durum,TRANSCEND,232929,12.4
2021,Durum,VERONA CDC,6483,18.9
2021,Spring Wheat,ADAMANT,3024,22.2
2021,Spring Wheat,BRANDON AAC,6734,21.1
2021,Spring Wheat,LANDMARK CDC,2548,7.3
2021,Spring Wheat,PLENTIFUL CDC,1611,13.9
2021,Spring Wheat,REDNET,738,22.3
2021,Spring Wheat,UTMOST CDC,3767,24.8
2021,Spring Wheat,VIEWFIELD AAC,2436,13.1
2021,Spring Wheat,WASKADA,591,30.5
2022,Barley,AUSTENSON CDC,7125,25.2
2022,Barley,CHAMPION,980,42.3
2022,Barley,COPELAND CDC,6453,39.0
2022,Barley,COWBOY CDC,641,20.9
2022,Barley,FRASER CDC,607,23.6
2022,Barley,MAVERICK CDC,5255,28.2
2022,Barley,SYNERGY AAC,15501,49.3
2022,Canola,DKTFLL 21 SC,933,31.1
2022,Canola,L233P,124083,24.6
2022,Canola,L340PC,64931,30.2
2022,Canola,L343PC,800,24.8
2022,Canola,L345PC,80131,26.4
2022,Field Peas,ABERDEEN AAC,410,31.1
2022,Field Peas,AMARILLO CDC,2593,29.9
2022,Field Peas,ARDILL AAC,6754,29.9
2022,Field Peas,CHROME AAC,4713,26.8
2022,Field Peas,FOREST CDC,1401,42.1
2022,Field Peas,GOLDEN CDC,2444,19.7
2022,Field Peas,INCA CDC,8657,31.1
2022,Field Peas,LEWOCHKO CDC,619,35.5
2022,Field Peas,MEADOW CDC,20720,25.0
2022,Flax,BETHUNE CDC,5964,17.7
2022,Flax,BRAVO AAC,1120,15.3
2022,Flax,DORADO CDC,855,24.0
2022,Flax,GLAS CDC,7890,20.9
2022,Flax,ROWLAND CDC,5879,18.0
2022,Flax,SORREL CDC,6971,18.3
2022,Flax,TOPAZ,1299,8.4
2022,Red Lentils,DAZIL CDC,4278,1082
2022,Red Lentils,IMPULSE,35014,1087
2022,Red Lentils,MAXIM CDC,31200,794
2022,Red Lentils,NIMBLE,1373,1087
2022,Red Lentils,PROCLAIM CDC,7854,1349
2022,Red Lentils,SIMMIE CDC,3279,811
2022,Oats,ARBORG CDC,3083,46.6
2022,Oats,DANCER CDC,2922,45.1
2022,Oats,HAYMAKER CDC,1195,37.6
2022,Durum,ALLOY CDC,61172,34.2
2022,Durum,BRIGADE,38973,37.5
2022,Durum,COMMANDER,10237,42.2
2022,Durum,CONGRESS AAC,24451,37.5
2022,Durum,CREDENCE CDC,2741,44.6
2022,Durum,CURRENT AAC,4268,38.8
2022,Durum,DEFY CDC,13929,51.8
2022,Durum,DONLOW AAC,2931,30.8
2022,Durum,FLARE CDC,1249,33.8
2022,Durum,FORTITUDE CDC,5983,24.7
2022,Durum,GRAINLAND AAC,22328,26.2
2022,Durum,KYLE,2801,21.8
2022,Durum,PRECISION CDC,69639,38.6
2022,Durum,RAYMORE AAC,1634,22.4
2022,Durum,SPITFIRE AAC,18382,36.8
2022,Durum,STRONGFIELD,11616,26.0
2022,Durum,STRONGHOLD AAC,13157,33.3
2022,Durum,SUCCEED AAC VB,5153,63.4
2022,Durum,TRANSCEND,298544,26.6
2022,Durum,VERONA CDC,3863,41.2
2022,Spring Wheat,ADAMANT,5503,26.9
2022,Spring Wheat,BRANDON AAC,10184,30.0
2022,Spring Wheat,LANDMARK CDC,6854,20.2
2022,Spring Wheat,PLENTIFUL CDC,3342,24.2
2022,Spring Wheat,REDNET,1264,26.4
2022,Spring Wheat,UTMOST CDC,4087,23.0
2022,Spring Wheat,VIEWFIELD AAC,7695,27.0
2022,Spring Wheat,WASKADA,1270,23.6
2023,Barley,AUSTENSON CDC,13110,22.8
2023,Barley,CHAMPION,1014,33.2
2023,Barley,COPELAND CDC,5610,23.8
2023,Barley,FRASER CDC,3031,35.1
2023,Barley,MAVERICK CDC,5315,32.3
2023,Barley,SYNERGY AAC,20357,35.4
2023,Canola,BY 6211TF,1254,23.1
2023,Canola,DKTFLL 21 SC,5260,14.2
2023,Canola,L233P,93601,21.0
2023,Canola,L340PC,104774,22.8
2023,Canola,L343PC,2035,28.0
2023,Canola,L345PC,71165,20.1
2023,Canola,L356PC,18275,27.7
2023,Canola,LR354PC,5054,17.4
2023,Field Peas,AMARILLO CDC,3573,19.5
2023,Field Peas,ARDILL AAC,4503,22.0
2023,Field Peas,CHROME AAC,1685,29.9
2023,Field Peas,FOREST CDC,2710,30.0
2023,Field Peas,GOLDEN CDC,4819,21.6
2023,Field Peas,GREENWATER,861,4.2
2023,Field Peas,INCA CDC,10973,24.7
2023,Field Peas,LEWOCHKO CDC,1693,30.2
2023,Field Peas,LIMERICK CDC,980,15.3
2023,Field Peas,MEADOW CDC,21111,22.4
