Crop,Variety,Acres,Yield_bu_ac
Barley,ADVANTAGE AB,406,58.4
Barley,AUSTENSON CDC,8917,49.0
Barley,CHAMPION,1056,51.6
Barley,COPELAND CDC,4273,54.6
Barley,COWBOY CDC,1069,26.3
Barley,FRASER CDC,1286,77.1
Barley,MAVERICK CDC,7154,35.4
Barley,RENEGADE CDC,2540,31.7
Barley,SYNERGY AAC,18677,48.5
Canola,BY 6211TF,1523,29.5
Canola,BY 7204LL,2715,39.7
Canola,DK 801 LL,4742,44.6
Canola,DK400TL,3535,32.7
Canola,DK401TK,2421,37.4
Canola,DK800LL,1855,59.3
Canola,DKTFLL 21 SC,674,45.0
Canola,L233P,39989,39.8
Canola,L330PC,14762,42.2
Canola,L333PC,8111,48.6
Canola,L340PC,172800,38.1
Canola,L341PC,2127,45.8
Canola,L343PC,540,44.8
Canola,L345PC,24257,36.9
Canola,L356PC,26893,39.7
Canola,LR354PC,1330,44.8
Canola,P1540L,580,53.1
Canola,P520L,6445,38.7
Field Peas,ABERDEEN AAC,2895,28.7
Field Peas,ACER,1140,50.2
Field Peas,AMARILLO CDC,2915,29.9
Field Peas,ARDILL AAC,11516,36.3
Field Peas,BOOST PS,1022,39.6
Field Peas,CARVER AAC,1769,32.4
Field Peas,CHROME AAC,905,35.0
Field Peas,CITRINE CDC,520,43.1
Field Peas,FOREST CDC,2920,51.4
Field Peas,GOLDEN CDC,581,22.8
Field Peas,GREENWATER,590,17.9
Field Peas,HICKIE CDC,1840,24.0
Field Peas,INCA CDC,6229,42.3
Field Peas,JULIUS AAC,1700,29.0
Field Peas,LEWOCHKO CDC,1546,51.9
Field Peas,LIMERICK CDC,3234,14.8
Field Peas,MEADOW CDC,27035,29.1
Field Peas,PATRICK CDC,2049,20.5
Field Peas,SPRUCE CDC,836,38.7
Field Peas,STRIKER CDC,2048,38.4
Field Peas,TOLLEFSON CDC,420,53.1
Spring Wheat,ADAMANT,480,26.9
Spring Wheat,BRANDON AAC,9505,33.1
Spring Wheat,HOCKLEY AAC,4301,28.7
Spring Wheat,LANDMARK CDC,3515,13.6
Spring Wheat,PLENTIFUL CDC,622,18.7
Spring Wheat,REDNET,808,26.4
Spring Wheat,TISDALE AAC,1803,26.6
Spring Wheat,UTMOST CDC,3034,18.8
Spring Wheat,VIEWFIELD AAC,5513,30.9
Spring Wheat,WASKADA,1273,29.3
