Year	Municipality	Crop	Variety	Farms	Acres	Yield/Acre	(Metric)	Yield/Acre	(Imperial)
2020	ALEXANDER	RED SPRING WHEAT	AAC BRANDON (BW 932)	5	1,411.0	1.368	Tonnes	50.3	Bushels
2020	ALEXANDER	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ALEXANDER	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	3	1,448.0	1.989	Tonnes	73.1	Bushels
2020	ALEXANDER	RED SPRING WHEAT	CARBERRY (BW874)	Below	Minimum	Tolerance	 	 	 
2020	ALEXANDER	RED SPRING WHEAT	CARDALE (BW429)	Below	Minimum	Tolerance	 	 	 
2020	ALEXANDER	RED SPRING WHEAT	CDC STANLEY (BW880)	Below	Minimum	Tolerance	 	 	 
2020	ALEXANDER	RED SPRING WHEAT	CDC TITANIUM <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	ALEXANDER	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	AAC BRANDON (BW 932)	11	5,732.0	1.771	Tonnes	65.1	Bushels
2020	ALONSA	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	AAC REDBERRY	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	ALONSA	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	5605HR CL (BW918)	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	AAC BRANDON (BW 932)	67	28,908.0	1.617	Tonnes	59.4	Bushels
2020	ARGYLE	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	AAC REDBERRY	7	1,590.0	1.302	Tonnes	47.8	Bushels
2020	ARGYLE	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	AC BARRIE (BW 661)	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	CARDALE (BW429)	3	537.0	0.816	Tonnes	30.0	Bushels
2020	ARGYLE	RED SPRING WHEAT	CDC HUGHES <CPSC> |PT588|	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	CDC ORTONA <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	ARGYLE	RED SPRING WHEAT	GLENN	Below	Minimum	Tolerance	 	 	 
2020	ARMSTRONG	RED SPRING WHEAT	AAC BRANDON (BW 932)	9	1,790.0	1.595	Tonnes	58.6	Bushels
2020	ARMSTRONG	RED SPRING WHEAT	AAC ELIE(BW931)	Below	Minimum	Tolerance	 	 	 
2020	ARMSTRONG	RED SPRING WHEAT	CDC TITANIUM <PROVEN>	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	AAC BRANDON (BW 932)	71	26,811.0	1.865	Tonnes	68.5	Bushels
2020	BIFROST-RIVERTON	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	AAC STARBUCK <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	12	5,035.0	2.152	Tonnes	79.1	Bushels
2020	BIFROST-RIVERTON	RED SPRING WHEAT	AC BARRIE (BW 661)	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	CARDALE (BW429)	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	CDC STANLEY (BW880)	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	CS DAYBREAK <CANTERRA>	3	782.0	1.967	Tonnes	72.3	Bushels
2020	BIFROST-RIVERTON	RED SPRING WHEAT	PT599 <SECAN>	Below	Minimum	Tolerance	 	 	 
2020	BIFROST-RIVERTON	RED SPRING WHEAT	SY TORACH <SYNGENTA>	3	710.0	2.103	Tonnes	77.3	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC BRANDON (BW 932)	45	23,424.0	1.946	Tonnes	71.5	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC CAMERON VB <CANTERRA>	Below	Minimum	Tolerance	 	 	 
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC ELIE(BW931)	6	3,739.0	2.020	Tonnes	74.2	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC LEROY VB <ALLIANCE>	Below	Minimum	Tolerance	 	 	 
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC REDBERRY	8	1,634.0	1.858	Tonnes	68.3	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC STARBUCK <SECAN>	3	701.0	1.893	Tonnes	69.5	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC TISDALE (PT250)	Below	Minimum	Tolerance	 	 	 
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC VIEWFIELD <FP GENETICS>|BW965| EXP	3	1,473.0	1.841	Tonnes	67.6	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	AAC WHEATLAND <SECAN>	3	745.0	2.060	Tonnes	75.7	Bushels
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	BOLLES <SEED DEPOT>	Below	Minimum	Tolerance	 	 	 
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	CDC LANDMARK	Below	Minimum	Tolerance	 	 	 
2020	BOISSEVAIN-MORTON	RED SPRING WHEAT	CDC PLENTIFUL (PT580)	Below	Minimum	Tolerance	 	 	 
2020	BRENDA-WASKADA	RED SPRING WHEAT	AAC ALIDA (BW980)	Below	Minimum	Tolerance	 	 	 
