Variety,Acres,Yield_bu_ac,Production,Formula used for production,Revenue,Formula used for revenue,,,
ADVANTAGE AB,"22,568",75.7,"1,708,398",=B2*C2,"9,396,187",=D2*$J$2,,Barley price,5.5
ALBRIGHT AC,700,80.1,"56,070",=B3*C3,"308,385",=D3*$J$2,,,
ALTORADO,"18,710",96.7,"1,809,257",=B4*C4,"9,950,914",=D4*$J$2,,,
AUSTENSON CDC,"197,626",76.1,"15,039,339",=B5*C5,"82,716,362",=D5*$J$2,,,
BRAHMA,"2,607",124.7,"325,093",=B6*C6,"1,788,011",=D6*$J$2,,,
CATTLELAC AB,"5,792",72.5,"419,920",=B7*C7,"2,309,560",=D7*$J$2,,,
CERVEZA,"1,998",97.5,"194,805",=B8*C8,"1,071,428",=D8*$J$2,,,
CHAMPION,"8,884",55.9,"496,616",=B9*C9,"2,731,386",=D9*$J$2,,,
CHURCHILL CDC,"66,119",93.7,"6,195,350",=B10*C10,"34,074,427",=D10*$J$2,,,
CLAYMORE,"21,676",77.1,"1,671,220",=B11*C11,"9,191,708",=D11*$J$2,,,
CONLON,"5,274",84.1,"443,543",=B12*C12,"2,439,489",=D12*$J$2,,,
CONNECT AAC,"143,023",90.1,"12,886,372",=B13*C13,"70,875,048",=D13*$J$2,,,
COPELAND CDC,"125,867",84.8,"10,673,522",=B14*C14,"58,704,369",=D14*$J$2,,,
COPPER CDC,901,79.2,"71,359",=B15*C15,"392,476",=D15*$J$2,,,
COWBOY CDC,"10,249",40.5,"415,085",=B16*C16,"2,282,965",=D16*$J$2,,,
DURANGO CDC,"38,961",87.4,"3,405,191",=B17*C17,"18,728,553",=D17*$J$2,,,
ESMA,"6,754",97.1,"655,813",=B18*C18,"3,606,974",=D18*$J$2,,,
FRASER CDC,"74,958",88.0,"6,596,304",=B19*C19,"36,279,672",=D19*$J$2,,,
GOLDSTAR CDC,"7,282",96.0,"699,072",=B20*C20,"3,844,896",=D20*$J$2,,,
HAGUE AB,"4,750",73.0,"346,750",=B21*C21,"1,907,125",=D21*$J$2,,,
LEGACY,"21,311",95.9,"2,043,725",=B22*C22,"11,240,487",=D22*$J$2,,,
MAVERICK CDC,"55,767",48.3,"2,693,546",=B23*C23,"14,814,504",=D23*$J$2,,,
MCGWIRE CDC,825,79.2,"65,340",=B24*C24,"359,370",=D24*$J$2,,,
METCALFE AC,"5,090",56.9,"289,621",=B25*C25,"1,592,916",=D25*$J$2,,,
NEWDALE,"2,190",89.1,"195,129",=B26*C26,"1,073,210",=D26*$J$2,,,
OREANA,"5,636",102.6,"578,254",=B27*C27,"3,180,395",=D27*$J$2,,,
RATTAN CDC,460,90.8,"41,768",=B28*C28,"229,724",=D28*$J$2,,,
RENEGADE CDC,"17,566",66.9,"1,175,165",=B29*C29,"6,463,410",=D29*$J$2,,,
ROSSER AC,"1,430",72.0,"102,960",=B30*C30,"566,280",=D30*$J$2,,,
SYNERGY AAC,"392,684",86.6,"34,006,434",=B31*C31,"187,035,389",=D31*$J$2,,,
WRANGLER AB,"3,015",39.2,"118,188",=B32*C32,"650,034",=D32*$J$2,,,
XENA,"1,287",56.5,"72,716",=B33*C33,"399,935",=D33*$J$2,,,
