Variety,Acres,Yield_bu_ac,Production,Formula used for production,Revenue,Formula used for revenue,,,
ADVANTAGE AB,"22,568",75.7,"1,708,398",,,9396189,,Barley price,5.5
ALBRIGHT AC,700,80.1,"56,070",1708397.6,"9,396,187",308385,,,
ALTORADO,"18,710",96.7,"1,809,257",1809257,"9,950,914",9950913.5,,,
AUSTENSON CDC,"197,626",76.1,"15,039,339",15039338.6,"82,716,362",82716364.5,,,
BRAHMA,"2,607",124.7,"325,093",325092.9,"1,788,011",1788011.5,,,
CATTLELAC AB,"5,792",72.5,"419,920",419920,"2,309,560",2309560,,,
CERVEZA,"1,998",97.5,"194,805",194805,"1,071,428",1071427.5,,,
CHAMPION,"8,884",55.9,"496,616",496615.6,"2,731,386",2731388,,,
CHURCHILL CDC,"66,119",93.7,"6,195,350",6195350.3,"34,074,427",34074425,,,
CLAYMORE,"21,676",77.1,"1,671,220",1671219.6,"9,191,708",9191710,,,
CONLON,"5,274",84.1,"443,543",443543.4,"2,439,489",2439486.5,,,
CONNECT AAC,"143,023",90.1,"12,886,372",12886372.3,"70,875,048",70875046,,,
COPELAND CDC,"125,867",84.8,"10,673,522",10673521.6,"58,704,369",58704371,,,
COPPER CDC,901,79.2,"71,359",71359.2,"392,476",392474.5,,,
COWBOY CDC,"10,249",40.5,"415,085",415084.5,"2,282,965",2282967.5,,,
DURANGO CDC,"38,961",87.4,"3,405,191",3405191.4,"18,728,553",18728550.5,,,
ESMA,"6,754",97.1,"655,813",655813.4,"3,606,974",3606971.5,,,
FRASER CDC,"74,958",88,"6,596,304",6596304,"36,279,672",36279672,,,
GOLDSTAR CDC,"7,282",96,"699,072",699072,"3,844,896",3844896,,,
HAGUE AB,"4,750",73,"346,750",346750,"1,907,125",1907125,,,
LEGACY,"21,311",95.9,"2,043,725",2043724.9,"11,240,487",11240487.5,,,
MAVERICK CDC,"55,767",48.3,"2,693,546",2693546.1,"14,814,504",14814503,,,
MCGWIRE CDC,825,79.2,"65,340",65340,"359,370",359370,,,
METCALFE AC,"5,090",56.9,"289,621",289621,"1,592,916",1592915.5,,,
NEWDALE,"2,190",89.1,"195,129",195129,"1,073,210",1073209.5,,,
OREANA,"5,636",102.6,"578,254",578253.6,"3,180,395",3180397,,,
RATTAN CDC,460,90.8,"41,768",41768,"229,724",229724,,,
RENEGADE CDC,"17,566",66.9,"1,175,165",1175165.4,"6,463,410",6463407.5,,,
ROSSER AC,"1,430",72,"102,960",102960,"566,280",566280,,,
SYNERGY AAC,"392,684",86.6,"34,006,434",34006434.4,"187,035,389",187035387,,,
WRANGLER AB,"3,015",39.2,"118,188",118188,"650,034",650034,,,
XENA,"1,287",56.5,"72,716",72715.5,"399,935",399938,,,
